atleta_id,apelido,clube_id,preco_editorial,escalacoes
94509,Raphael Veiga,275,21,80985
71684,Gustavo Gómez,275,18,71582
110506,Abel Ferreira,275,13,48947
102130,Piquerez,275,11,44569
79631,Cano,266,22,39777
99815,Arias,266,14,38501
95799,Artur,275,7,37784
81150,Mayke,275,7,37514
71631,Weverton,275,19,33880
91607,Rony,275,15,32594
80692,Luan,275,7,30230
84042,Tiquinho Soares,263,12,25894
92708,Deyverson,1371,6,25255
111578,António Oliveira,1371,5,24486
99818,Paulinho,282,8,24251
82455,Zé Rafael,275,12,21749
94583,Pedro,262,19,21448
109497,Marcos Leonardo,277,14,20649
69318,Luis Suárez,284,23,20055
89256,Gerson,262,10,19696
