atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
60825,327,5,7,Felipe Azevedo,21,16,4.93,-1.77,0.52,3.2,0.1
68991,356,4,6,Lucas Sasha,21,11,6.31,0.54,3.53,3.03,4.1
86391,290,2,5,Sander,21,17,10.75,0.0,3.05,5.88,0.0
79334,327,3,6,Ricardo Silva,21,6,1.6,-0.41,0.14,0.82,-0.3
69705,283,4,6,Nikão,21,8,3.15,0.0,1.31,0.7,0.0
82381,327,4,7,Juninho,21,19,6.4,0.37,3.77,2.72,4.4
86864,327,2,6,Marlon,21,12,5.6,0.36,3.0,3.32,3.4
115959,275,5,6,Endrick,21,15,6.66,0.0,0.74,2.62,0.0
90290,275,4,6,Jailson,21,4,3.87,0.0,0.31,1.67,0.0
89226,327,3,7,Iago Maidana,21,18,1.97,-0.41,0.16,0.81,-0.3
91151,327,5,6,Everaldo,21,14,8.45,0.0,2.79,3.88,0.0
96754,275,4,6,Atuesta,21,0,5.0,0.0,1.92,0.0,0.0
93550,327,4,5,Benítez,21,9,7.07,0.0,4.08,3.96,0.0
102561,327,5,3,Mastriani,21,9,5.05,0.85,5.28,4.42,6.4
91203,327,3,7,Éder,21,13,2.36,-0.07,0.38,0.98,0.0
85083,275,1,6,Vinicius Silvestre,21,0,3.0,0.0,1.71,0.0,0.0
107225,275,2,6,Gustavo Garcia,21,4,2.59,0.0,-1.42,1.55,0.0
103388,327,4,7,Emmanuel Martínez,21,19,6.87,1.19,5.79,4.13,7.0
93886,327,4,6,Matheusinho,21,7,3.69,0.0,-5.15,1.95,0.0
73850,327,5,5,Aloísio,21,12,7.85,0.0,0.27,4.57,0.0
113159,275,3,6,Michel,21,0,2.0,0.0,1.61,0.0,0.0
38750,262,2,6,Filipe Luís,21,6,5.66,0.0,1.56,2.85,0.0
95127,327,2,6,Nicolas,21,5,3.52,0.0,2.6,2.88,0.0
52827,262,3,6,David Luiz,21,12,6.95,0.0,1.43,4.0,0.0
68952,356,5,3,Marinho,21,12,4.65,0.89,7.7,2.94,9.6
69012,262,1,6,Santos,21,6,9.47,0.0,7.33,3.25,0.0
69165,262,3,6,Pablo,21,3,3.62,0.0,0.13,1.43,0.0
69375,293,4,7,Vidal,21,11,5.55,0.02,2.07,2.41,2.2
100084,282,4,2,Igor Gomes,21,15,4.9,-0.03,1.32,1.94,1.2
95662,327,4,7,Lucas Kal,21,14,2.06,-0.06,0.38,0.35,0.0
115563,327,4,6,Rodriguinho,21,5,2.97,0.29,4.48,2.38,5.4
97453,327,1,6,Jori,21,0,3.0,0.0,1.71,0.0,0.0
84816,262,2,5,Varela,21,2,3.52,0.0,-0.32,2.35,0.0
115998,327,5,5,Adyson,21,2,2.43,0.0,2.26,1.65,0.0
89256,262,4,6,Gerson,21,16,11.85,0.0,7.16,5.41,0.0
111172,327,1,6,Robson,21,0,2.0,0.0,1.61,0.0,0.0
86143,327,3,5,Wanderson,21,7,2.82,0.0,0.37,1.16,0.0
90285,262,5,7,Bruno Henrique,21,15,6.05,0.23,3.37,2.3,3.9
86757,262,5,6,Everton,21,17,8.19,0.18,2.27,4.14,2.4
89637,262,4,7,Thiago Maia,21,18,5.95,0.17,1.32,1.8,1.2
111690,262,1,7,Matheus Cunha,21,17,7.19,0.9,5.02,4.91,6.0
91473,262,4,7,Erick Pulgar,21,12,3.69,-0.39,-0.05,2.63,-0.6
73800,262,3,6,Rodrigo Caio,21,1,3.97,0.0,1.81,0.0,0.0
116034,262,4,6,Victor Hugo,21,20,6.24,-0.57,2.1,2.66,2.2
83257,262,5,7,Gabriel,21,16,12.57,-1.76,1.01,4.87,0.7
78077,293,2,7,Madson,21,16,5.88,0.05,0.96,2.77,0.7
38394,293,3,6,Thiago Heleno,21,16,6.59,-0.07,1.71,2.77,1.7
70986,265,4,7,Léo Cittadini,21,8,2.19,0.49,3.26,0.91,3.8
69138,293,5,7,Pablo,21,14,10.34,-0.16,0.84,4.78,0.5
72775,293,4,7,Fernandinho,21,10,5.89,0.0,3.48,3.11,0.0
91866,293,3,7,Zé Ivaldo,21,14,4.69,-0.1,1.33,2.61,1.2
102299,327,5,6,Mikael,21,5,3.0,0.0,-5.08,1.68,0.0
38279,327,5,3,Wellington Paulista,21,7,2.63,-0.77,1.28,1.13,-3.0
87552,293,4,2,Vitor Bueno,21,15,6.91,-0.1,0.45,3.99,0.0
102310,293,3,6,Matheus Felipe,21,5,2.53,0.0,1.93,1.7,0.0
101594,293,4,6,Hugo Moura,21,18,6.17,-0.24,0.43,2.58,0.0
98022,293,4,7,Erick,21,16,6.67,-0.12,0.92,4.33,0.6
111694,262,5,6,Mateusão,21,0,2.0,0.0,1.61,0.0,0.0
102928,293,5,3,Canobbio,21,16,7.5,-0.35,5.7,4.96,6.9
110698,293,1,6,Mycael,21,0,3.0,0.0,1.71,0.0,0.0
114790,262,3,6,Cleiton,21,0,3.0,0.0,1.71,0.0,0.0
69022,293,5,6,Marcelo Cirino,21,4,3.44,0.0,1.21,0.6,0.0
52253,282,3,6,Réver,21,3,4.49,0.0,4.19,4.9,0.0
68727,277,2,7,Dodô,21,8,3.41,-0.01,0.39,1.58,0.0
82463,282,4,7,Otávio,21,11,3.62,-0.4,0.02,1.85,-0.5
85465,293,4,6,Alex Santana,21,10,4.24,-0.3,1.0,2.22,0.8
84263,282,3,7,Jemerson,21,19,8.76,1.05,6.14,3.32,7.5
107197,293,5,6,Rômulo,21,5,1.58,0.0,0.03,0.42,0.0
98909,293,5,2,Cuello,21,15,5.28,0.78,6.5,3.11,8.0
87228,282,2,3,Guilherme Arana,21,11,10.34,0.7,5.89,4.0,7.2
89493,282,3,5,Igor Rabello,21,5,5.23,0.0,6.84,3.94,0.0
87853,282,3,3,Mauricio Lemos,21,14,10.04,0.28,3.94,4.23,4.6
106950,293,2,5,Fernando,21,6,4.73,0.0,2.69,5.27,0.0
104502,293,4,5,Christian,21,14,10.5,0.0,8.25,4.7,0.0
91908,282,5,7,Pavón,21,18,9.14,-0.02,3.28,5.38,3.7
63289,282,4,2,Edenílson,21,17,5.57,0.0,4.25,2.04,0.0
96725,282,2,2,Saravia,21,14,7.28,1.0,5.14,3.62,6.2
