atleta_id;atleta_apelido;posicao_id;clube_id;clube_nome
82766;Wellington Rato;4;276;São Paul
83257;Gabriel;5;262;Flamengo
83276;Julio Furch;5;277;Santos
83433;Patrick;4;282;Atlético-M
83528;Léo Pereir;3;262;Flamengo
83786;Neris;3;283;Cruzeiro
83817;Clayson;5;1371;Cuiab�
84042;Tiquinho Soares;5;263;Botafogo
84263;Jemerson;3;282;Atlético-M
84339;Bruno Melo;3;290;Goiá
84428;Fernando Sobral;4;1371;Cuiab�
84523;Romarinho;5;356;Fortaleza
84674;Lucas Evangelista;4;280;Bragantino
84816;Varela;2;262;Flamengo
84817;Robson;5;294;Coritiba
84918;Rafael Ratã;5;265;Bahia
85004;Marcos Felipe;1;265;Bahia
85083;Vinicius Silvestre;1;275;Palmeiras
85315;Cantillo;4;264;Corinthians
85425;João Paul;1;277;Santos
85465;Alex Santana;4;293;Athletico-PR
85626;Lé;3;267;Vasco
85931;Hyoran;4;282;Atlético-M
86143;Wanderson;3;327;América-M
86388;Al�;4;327;América-M
86391;Sander;2;290;Goiá
86410;Victor Luis;2;294;Coritiba
86485;Keno;5;266;Fluminense
86508;Jandrei;1;276;São Paul
86686;Tchê Tch;4;263;Botafogo
86757;Everton;5;262;Flamengo
86759;Luan;4;284;Grêmi
86777;Danilo Barbosa;4;263;Botafogo
86799;Rodrigo Pinho;5;294;Coritiba
86841;Boschilia;4;294;Coritiba
86859;José Weliso;4;356;Fortaleza
86864;Marlon;2;327;América-M
87008;Léo Jardi;1;267;Vasco
87009;Nathan;4;284;Grêmi
87225;Pedro Henrique;3;293;Athletico-PR
87228;Guilherme Arana;2;282;Atlético-M
87242;Carlos de Pena;4;285;Internacional
87258;Soteldo;5;277;Santos
87342;Kannemann;3;284;Grêmi
87391;Allano;5;290;Goiá
87402;Messias;3;277;Santos
87470;Thaciano;4;265;Bahia
87552;Vitor Bueno;4;293;Athletico-PR
87603;Mateus Pasinato;1;327;América-M
87747;Yago Felipe;4;265;Bahia
87808;Philipe Sampaio;3;263;Botafogo
87853;Mauricio Lemos;3;282;Atlético-M
87863;Arrascaeta;4;262;Flamengo
88033;Alan Empereur;3;1371;Cuiab�
88065;Jorge;2;266;Fluminense
88136;Ivan;1;267;Vasco
88323;�ngel Romero;5;264;Corinthians
88368;Gabriel Dias;2;267;Vasco
88393;Ayrton Lucas;2;262;Flamengo
88423;Aderlan;2;280;Bragantino
88597;Lucas Crispim;4;356;Fortaleza
88857;Marcelino Moreno;4;294;Coritiba
88916;Luan Polli;1;294;Coritiba
89226;Iago Maidana;3;327;América-M
89256;Gerson;4;262;Flamengo
89273;João Pedr;2;284;Grêmi
89275;William;2;283;Cruzeiro
89493;Igor Rabello;3;282;Atlético-M
89637;Thiago Maia;4;262;Flamengo
89840;Calleri;5;276;São Paul
89846;Cristaldo;4;284;Grêmi
89883;Dodi;4;277;Santos
89918;Everton Galdino;5;284;Grêmi
90031;Mendoza;5;277;Santos
90061;Bruno Pacheco;2;356;Fortaleza
90120;Edu;5;294;Coritiba
90232;Raí Ramo;2;276;São Paul
90285;Bruno Henrique;5;262;Flamengo
90290;Jailson;4;275;Palmeiras
90302;Pedro Rocha;5;356;Fortaleza
90309;David;5;276;São Paul
90449;Rezende;4;265;Bahia
90540;Diego Gonçalve;5;290;Goiá
90590;Mateus Claus;1;265;Bahia
90634;Lucas Mineiro;4;1371;Cuiab�
90768;Fabrício Brun;3;262;Flamengo
91151;Everaldo;5;327;América-M
91190;PK;2;1371;Cuiab�
91203;�der;3;327;América-M
91254;Carballo;4;284;Grêmi
91260;Lucas Perri;1;263;Botafogo
91473;Erick Pulgar;4;262;Flamengo
91573;Arboleda;3;276;São Paul
91607;Rony;5;275;Palmeiras
91664;Adryelson;3;263;Botafogo
91689;Matheus Jussa;4;283;Cruzeiro
91706;Marlon;2;283;Cruzeiro
91708;Nino;3;266;Fluminense
91712;Matheus Alves;1;290;Goiá
91772;David Duarte;3;265;Bahia
91866;Zé Ivald;3;293;Athletico-PR
91908;Pavó;5;282;Atlético-M
91971;Wesley Carvalho;6;293;Athletico-PR
92075;Ramón Dí;6;267;Vasco
92207;Caíqu;1;284;Grêmi
92237;Rodrigo Ely;3;284;Grêmi
92291;Bruno Viana;3;294;Coritiba
92496;Raul;4;280;Bragantino
92696;Renato Kayzer;5;327;América-M
92708;Deyverson;5;1371;Cuiab�
92811;Bruno Rodrigues;5;283;Cruzeiro
92855;Palacios;2;283;Cruzeiro
93108;Mateus Vital;4;283;Cruzeiro
93236;Rafael Ramos;2;264;Corinthians
93368;Lucas Veríssim;3;264;Corinthians
93372;João Bass;3;277;Santos
93478;Wanderson;5;285;Internacional
93550;Beníte;4;327;América-M
93702;Gabriel Inocênci;2;277;Santos
93716;Paulo Henrique;2;267;Vasco
93787;Andrey;4;294;Coritiba
93790;Marlon Freitas;4;263;Botafogo
93791;Daniel;4;266;Fluminense
93797;Marcinho;2;327;América-M
93834;Keiller;1;285;Internacional
93882;Cleiton;1;280;Bragantino
93886;Matheusinho;4;327;América-M
93988;Breno Lopes;5;275;Palmeiras
94007;Matías Roja;4;264;Corinthians
94044;John Victor;1;285;Internacional
94067;Matheus Fernandes;4;280;Bragantino
94154;Maycon;4;264;Corinthians
94207;Guilherme;5;356;Fortaleza
94263;Dadá Belmont;4;327;América-M
94444;Matheus Babi;5;290;Goiá
94509;Raphael Veiga;4;275;Palmeiras
94514;Oliveira;3;283;Cruzeiro
94583;Pedro;5;262;Flamengo
94786;Jhegson Ménde;4;276;São Paul
94836;Burgos;3;327;América-M
94845;Battaglia;4;282;Atlético-M
