atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
105911,285,4,5,Rômulo,19,11,3.85,0.0,2.44,3.96,0.0
123359,282,5,6,Cadu,19,1,0.95,0.0,1.67,1.2,0.0
123713,275,4,5,Luis Guilherme,19,12,2.36,0.1,2.15,1.82,2.3
121821,264,3,7,Murillo,19,13,2.83,0.0,2.24,2.67,2.4
122233,284,5,6,Ronald Barcellos,19,0,3.0,0.0,1.71,0.0,0.0
70800,262,6,7,Jorge Sampaoli,19,18,11.73,0.34,3.35,5.55,3.75
118752,267,4,6,Mateus Carvalho,19,5,2.6,0.0,1.39,1.8,0.0
104991,263,1,6,Igo Gabriel,19,0,1.0,0.0,1.5,0.0,0.0
110947,266,4,6,Gustavo Apis,19,0,2.0,0.0,1.61,0.0,0.0
122439,266,4,6,Isaac,19,3,0.95,0.0,1.49,0.9,0.0
40990,276,6,7,Dorival Júnior,19,18,11.27,0.15,3.18,5.22,3.51
104640,294,4,7,Matheus Bianqui,19,12,3.58,0.32,3.14,2.34,3.6
118501,262,2,6,Zé Welinton,19,0,1.0,0.0,1.5,0.0,0.0
104420,293,5,6,Reinaldo,19,1,2.39,0.0,1.89,1.7,0.0
121766,267,2,6,Paulinho Silva,19,0,1.0,0.0,1.5,0.0,0.0
105845,264,4,6,Matheus Araújo,19,9,5.64,0.0,2.36,1.95,0.0
111309,284,3,7,Gustavo Martins,19,10,2.79,0.19,1.33,2.84,1.2
104424,284,1,6,Felipe Scheibig,19,0,1.0,0.0,1.5,0.0,0.0
123717,284,2,6,Zé Guilherme,19,0,1.0,0.0,1.5,0.0,0.0
41327,264,6,7,Vanderlei Luxemburgo,19,15,8.77,0.68,6.18,4.91,7.5
115671,284,4,6,Mila,19,8,1.0,0.0,0.9,0.61,0.0
105909,265,5,2,Vinicius Mingotti,19,11,2.32,-0.34,0.17,1.65,-0.3
69022,293,5,6,Marcelo Cirino,19,4,3.44,0.0,1.21,0.6,0.0
123054,265,1,6,Tiago Gomes,19,0,1.0,0.0,1.5,0.0,0.0
111763,263,4,6,JP Galvão,19,0,1.0,0.0,1.5,0.0,0.0
115268,282,3,6,Rômulo,19,0,1.0,0.0,1.5,0.0,0.0
106832,276,4,6,Pedro Vilhena,19,0,1.0,0.0,1.5,0.0,0.0
117909,264,5,7,Wesley,19,8,4.62,1.41,8.15,3.29,10.2
111408,264,5,6,Felipe Augusto,19,5,1.21,0.0,-0.1,0.24,0.0
122293,294,3,6,Thiago Dombroski,19,4,0.71,0.0,-0.85,1.08,0.0
111891,264,4,6,Guilherme Biro,19,8,3.78,0.0,2.86,2.79,0.0
124690,282,4,6,Paulo Vitor,19,1,1.04,0.0,1.5,1.1,0.0
122398,264,4,6,Adryan,19,0,1.0,0.0,1.5,0.0,0.0
117459,264,2,6,Léo Maná,19,0,2.0,0.0,1.61,0.0,0.0
124674,276,4,6,Felipe Negrucci,19,1,0.73,-0.27,-0.09,-0.6,-0.6
107375,290,4,6,Dodô,19,7,1.33,0.0,1.39,1.46,0.0
117403,327,5,6,Renato Marques,19,7,2.12,0.0,0.02,1.82,0.0
122991,327,4,6,Breno,19,11,3.54,0.29,2.17,2.73,2.3
118563,276,4,6,Rodriguinho,19,9,1.1,0.0,1.09,0.7,0.0
124698,290,3,6,Nolasco,19,0,1.0,0.0,1.5,0.0,0.0
124699,283,5,6,Arielson,19,0,1.0,0.0,1.5,0.0,0.0
124701,276,1,6,Leandro,19,0,1.0,0.0,1.5,0.0,0.0
122486,267,5,6,Rayan,19,6,2.09,0.0,0.54,2.63,0.0
111841,266,4,6,Arthur,19,1,1.04,0.0,1.68,1.2,0.0
124267,285,2,6,Rangel,19,0,1.0,0.0,1.5,0.0,0.0
116065,284,2,6,Cuiabano,19,8,4.24,0.0,2.73,2.72,0.0
118701,277,2,6,Kevyson,19,4,0.83,0.0,-0.21,0.77,0.0
122419,285,3,6,Felipe,19,0,1.0,0.0,1.5,0.0,0.0
111689,356,1,6,Bruno Guimarães,19,0,1.0,0.0,1.5,0.0,0.0
124758,280,3,6,Gustavo Henrique,19,0,1.0,0.0,1.5,0.0,0.0
121235,290,4,6,Simioni,19,0,1.0,0.0,1.5,0.0,0.0
107186,293,2,6,Vinicius Kauê,19,3,0.73,0.0,-0.45,0.47,0.0
124728,266,2,6,João Henrique,19,0,1.0,0.0,1.5,0.0,0.0
123725,293,3,6,Arthur Zanella,19,0,1.0,0.0,1.5,0.0,0.0
125000,284,2,6,Wesley Costa,19,0,1.0,0.0,1.5,0.0,0.0
49675,276,5,6,Alexandre Pato,19,5,4.29,0.35,2.06,2.28,2.2
115997,327,4,6,Mateus Henrique,19,2,0.93,0.0,0.16,0.85,0.0
110602,277,1,6,Paulo Mazoti,19,0,1.0,0.0,1.5,0.0,0.0
124757,284,5,6,Nathan Fernandes,19,3,0.76,0.0,1.27,0.3,0.0
110668,293,2,7,Esquivel,19,4,3.16,0.0,0.25,3.8,0.0
121238,290,5,6,Wendell,19,0,1.0,0.0,1.5,0.0,0.0
117818,276,1,6,Young,19,0,1.0,0.0,1.5,0.0,0.0
111652,327,5,6,Rodrigo Varanda,19,6,2.16,0.0,2.47,1.58,0.0
124821,266,5,6,Kauã Elias,19,0,1.0,0.0,1.5,0.0,0.0
113295,327,3,6,Júlio,19,2,3.72,-1.07,0.4,4.85,0.0
122441,266,3,6,Kayky Almeida,19,0,1.0,0.0,1.5,0.0,0.0
125081,290,6,7,Armando Evangelista,19,9,10.01,0.57,6.37,5.21,7.71
124830,284,5,6,Lian,19,1,0.72,0.0,1.47,0.0,0.0
118676,277,5,6,Weslley Patati,19,3,2.21,0.51,2.89,2.3,3.3
111945,263,4,6,Diego Hernández,19,0,7.0,0.0,2.13,0.0,0.0
70788,285,5,2,Enner Valencia,19,6,9.17,-0.39,2.11,3.52,2.2
