temporada_id;rodada_id;clube_id;partida_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2016;10;303;2016_10_303;Ponte Preta;0;4;4;4;0;0;1
2016;10;263;2016_10_263;Botafogo;0;0;0;1;0;0;1
2016;10;344;2016_10_344;Santa Cruz;0;1;1;0;0;0;1
2016;10;266;2016_10_266;Fluminense;2;4;1;1;0;0;1
2016;10;282;2016_10_282;Atlético-MG;2;1;3;1;0;0;1
2016;10;315;2016_10_315;Chapecoense;0;0;2;2;0;0;1
2016;10;284;2016_10_284;Grêmio;1;2;4;4;1;0;1
2016;10;276;2016_10_276;São Paulo;0;0;0;2;0;0;1
2016;10;294;2016_10_294;Coritiba;1;1;2;5;1;0;1
2016;11;283;2016_11_283;Cruzeiro;2;1;4;2;0;0;1
2016;11;264;2016_11_264;Corinthians;2;1;3;1;0;0;1
2016;11;327;2016_11_327;América-MG;0;1;3;3;0;0;1
2016;11;262;2016_11_262;Flamengo;1;2;0;1;0;0;1
2016;11;287;2016_11_287;Vitória;1;1;3;2;0;0;1
2016;11;293;2016_11_293;Athletico-PR;2;0;1;0;0;1;1
2016;11;285;2016_11_285;Internacional;2;3;4;3;1;0;1
2016;11;277;2016_11_277;Santos;3;0;2;3;0;1;1
2016;11;292;2016_11_292;Sport;5;1;3;2;0;0;1
2016;11;316;2016_11_316;Figueirense;0;0;3;4;0;0;1
2016;12;262;2016_12_262;Flamengo;1;0;1;1;0;0;1
2016;12;287;2016_12_287;Vitória;3;2;4;4;0;2;1
2016;12;284;2016_12_284;Grêmio;3;2;3;3;0;0;1
2016;12;294;2016_12_294;Coritiba;1;0;3;2;0;0;1
2016;12;315;2016_12_315;Chapecoense;3;2;4;6;0;0;1
2016;12;276;2016_12_276;São Paulo;2;1;4;3;0;0;1
2016;12;327;2016_12_327;América-MG;0;2;2;1;0;0;1
2016;12;344;2016_12_344;Santa Cruz;0;3;2;1;0;0;1
2016;12;275;2016_12_275;Palmeiras;4;0;1;1;0;0;1
2016;12;282;2016_12_282;Atlético-MG;5;3;0;0;0;0;1
2016;13;266;2016_13_266;Fluminense;0;0;1;2;0;0;1
2016;13;293;2016_13_293;Athletico-PR;1;0;2;2;0;0;1
2016;13;283;2016_13_283;Cruzeiro;2;2;3;3;0;1;1
2016;13;285;2016_13_285;Internacional;0;1;4;5;0;0;1
2016;13;277;2016_13_277;Santos;3;0;1;1;0;0;1
2016;13;303;2016_13_303;Ponte Preta;1;0;3;2;0;1;1
2016;13;264;2016_13_264;Corinthians;4;0;2;3;0;0;1
2016;13;263;2016_13_263;Botafogo;2;1;1;3;0;0;1
2016;13;316;2016_13_316;Figueirense;1;1;2;4;1;1;1
2016;13;292;2016_13_292;Sport;1;3;4;5;0;0;1
2016;14;315;2016_14_315;Chapecoense;0;2;1;1;1;0;1
2016;14;294;2016_14_294;Coritiba;0;0;1;3;0;0;1
2016;14;303;2016_14_303;Ponte Preta;2;1;2;2;0;0;1
2016;14;284;2016_14_284;Grêmio;2;1;1;1;0;0;1
2016;14;262;2016_14_262;Flamengo;2;0;1;4;0;0;1
2016;14;344;2016_14_344;Santa Cruz;1;0;0;2;0;0;1
2016;14;276;2016_14_276;São Paulo;3;0;1;4;0;0;1
2016;14;287;2016_14_287;Vitória;0;0;3;4;0;0;1
2016;14;283;2016_14_283;Cruzeiro;0;3;1;4;0;0;1
2016;14;275;2016_14_275;Palmeiras;1;1;3;2;0;0;1
2016;15;263;2016_15_263;Botafogo;3;3;2;4;0;0;1
2016;15;277;2016_15_277;Santos;3;1;3;2;0;0;1
2016;15;327;2016_15_327;América-MG;0;3;2;2;0;0;1
2016;15;285;2016_15_285;Internacional;0;1;4;2;0;0;1
2016;15;316;2016_15_316;Figueirense;1;1;1;4;0;0;1
2016;15;266;2016_15_266;Fluminense;2;0;0;6;0;0;1
2016;15;293;2016_15_293;Athletico-PR;1;1;3;3;0;0;1
2016;15;264;2016_15_264;Corinthians;1;1;3;3;0;0;1
2016;15;292;2016_15_292;Sport;4;2;0;3;0;0;1
2016;15;282;2016_15_282;Atlético-MG;2;1;2;2;0;0;1
2016;16;264;2016_16_264;Corinthians;1;1;2;6;0;0;1
2016;16;344;2016_16_344;Santa Cruz;0;1;2;1;0;0;1
2016;16;275;2016_16_275;Palmeiras;0;1;1;2;0;0;1
2016;16;303;2016_16_303;Ponte Preta;2;2;3;3;0;1;1
2016;16;284;2016_16_284;Grêmio;1;0;0;3;0;1;1
2016;16;293;2016_16_293;Athletico-PR;1;0;3;5;0;0;1
2016;16;283;2016_16_283;Cruzeiro;1;2;1;4;0;0;1
2016;16;315;2016_16_315;Chapecoense;2;1;1;2;0;0;1
2016;16;287;2016_16_287;Vitória;2;3;3;2;0;0;1
2016;16;262;2016_16_262;Flamengo;2;1;1;0;0;0;1
2016;17;316;2016_17_316;Figueirense;1;0;3;4;1;1;1
2016;17;292;2016_17_292;Sport;2;0;2;1;0;0;1
2016;17;282;2016_17_282;Atlético-MG;3;0;1;3;0;0;1
2016;17;276;2016_17_276;São Paulo;2;2;4;1;0;0;1
2016;17;266;2016_17_266;Fluminense;3;0;4;6;0;0;1
2016;17;294;2016_17_294;Coritiba;0;2;1;2;0;0;1
2016;17;285;2016_17_285;Internacional;0;1;2;2;0;0;1
2016;17;277;2016_17_277;Santos;2;0;1;1;0;0;1
2016;17;263;2016_17_263;Botafogo;3;1;4;3;0;0;1
2016;17;327;2016_17_327;América-MG;0;0;2;2;0;1;1
2016;18;287;2016_18_287;Vitória;3;1;2;1;0;0;1
2016;18;292;2016_18_292;Sport;1;1;1;3;0;0;1
2016;18;277;2016_18_277;Santos;0;0;2;2;0;0;1
2016;18;293;2016_18_293;Athletico-PR;2;0;3;0;0;0;1
2016;18;303;2016_18_303;Ponte Preta;2;0;2;2;0;0;1
2016;18;284;2016_18_284;Grêmio;0;0;1;3;0;0;1
2016;18;276;2016_18_276;São Paulo;1;2;2;2;0;0;1
2016;18;283;2016_18_283;Cruzeiro;4;2;1;1;0;0;1
2016;18;315;2016_18_315;Chapecoense;1;1;1;0;0;0;1
2016;18;266;2016_18_266;Fluminense;3;2;3;3;0;0;1
2016;19;262;2016_19_262;Flamengo;1;0;2;4;0;0;1
2016;19;327;2016_19_327;América-MG;1;0;2;1;0;1;1
2016;19;294;2016_19_294;Coritiba;3;1;4;3;0;0;1
2016;19;275;2016_19_275;Palmeiras;2;1;2;4;0;0;1
2016;19;344;2016_19_344;Santa Cruz;1;2;1;3;0;0;1
2016;19;285;2016_19_285;Internacional;2;2;4;4;0;0;1
2016;19;316;2016_19_316;Figueirense;1;1;5;3;0;0;1
2016;19;282;2016_19_282;Atlético-MG;3;1;0;1;0;0;1
2016;19;264;2016_19_264;Corinthians;1;1;4;3;0;0;1
2016;19;263;2016_19_263;Botafogo;2;1;3;4;0;0;1
2016;20;292;2016_20_292;Sport;1;0;2;3;0;0;1
2016;20;303;2016_20_303;Ponte Preta;2;0;2;2;0;0;1
2016;20;266;2016_20_266;Fluminense;1;0;2;5;0;0;1
2016;20;284;2016_20_284;Grêmio;3;0;4;1;0;0;1
2016;20;283;2016_20_283;Cruzeiro;2;2;2;4;0;0;1
2016;20;277;2016_20_277;Santos;3;0;4;4;0;0;1
2016;20;287;2016_20_287;Vitória;2;2;1;2;0;0;1
2016;20;276;2016_20_276;São Paulo;0;1;2;2;0;0;1
2016;20;293;2016_20_293;Athletico-PR;0;1;3;3;0;0;1
2016;20;315;2016_20_315;Chapecoense;1;0;1;2;0;0;1
2016;21;327;2016_21_327;América-MG;1;2;1;1;0;0;1
2016;21;263;2016_21_263;Botafogo;3;0;1;2;0;0;1
2016;21;262;2016_21_262;Flamengo;2;1;2;1;0;0;1
2016;21;282;2016_21_282;Atlético-MG;1;0;0;2;0;0;1
2016;21;285;2016_21_285;Internacional;1;1;1;2;0;0;1
2016;21;344;2016_21_344;Santa Cruz;0;1;0;2;0;0;1
2016;21;275;2016_21_275;Palmeiras;2;2;3;6;0;0;1
2016;21;294;2016_21_294;Coritiba;2;1;1;3;0;0;1
2016;21;316;2016_21_316;Figueirense;1;2;4;5;1;0;1
2016;21;264;2016_21_264;Corinthians;2;1;2;4;0;0;1
2016;22;303;2016_22_303;Ponte Preta;2;0;2;1;0;1;1
2016;22;283;2016_22_283;Cruzeiro;2;0;3;3;0;0;1
2016;22;277;2016_22_277;Santos;0;1;3;2;0;0;1
2016;22;284;2016_22_284;Grêmio;1;1;4;4;0;0;1
2016;22;266;2016_22_266;Fluminense;0;2;7;5;0;0;1
2016;22;315;2016_22_315;Chapecoense;1;3;4;0;0;0;1
2016;22;276;2016_22_276;São Paulo;0;0;2;1;0;0;1
2016;22;292;2016_22_292;Sport;1;1;4;5;0;0;1
2016;22;287;2016_22_287;Vitória;2;1;3;5;0;0;1
2016;22;293;2016_22_293;Athletico-PR;1;0;3;2;0;0;1
2016;23;344;2016_23_344;Santa Cruz;2;2;3;3;1;0;1
2016;23;316;2016_23_316;Figueirense;1;0;1;2;0;0;1
2016;23;263;2016_23_263;Botafogo;1;0;5;2;0;0;1
2016;23;282;2016_23_282;Atlético-MG;2;1;2;5;0;0;1
2016;23;275;2016_23_275;Palmeiras;2;1;3;3;0;0;1
2016;23;262;2016_23_262;Flamengo;2;1;1;3;0;0;1
2016;23;294;2016_23_294;Coritiba;4;0;3;0;0;0;1
2016;23;264;2016_23_264;Corinthians;3;0;2;2;0;0;1
2016;23;327;2016_23_327;América-MG;0;2;1;2;0;0;1
2016;23;285;2016_23_285;Internacional;2;1;4;4;0;1;1
2016;24;287;2016_24_287;Vitória;1;2;2;1;1;0;1
2016;24;315;2016_24_315;Chapecoense;1;0;2;3;0;0;1
2016;24;276;2016_24_276;São Paulo;3;1;2;2;0;0;1
2016;24;283;2016_24_283;Cruzeiro;0;2;4;2;0;0;1
2016;24;292;2016_24_292;Sport;5;3;2;1;1;1;1
2016;24;293;2016_24_293;Athletico-PR;2;1;0;2;0;0;1
2016;24;277;2016_24_277;Santos;2;1;2;1;0;0;1
2016;24;303;2016_24_303;Ponte Preta;1;1;2;1;0;0;1
2016;24;284;2016_24_284;Grêmio;0;0;4;3;0;0;1
2016;24;266;2016_24_266;Fluminense;4;2;1;4;0;0;1
2016;25;263;2016_25_263;Botafogo;0;1;2;1;0;0;1
2016;25;316;2016_25_316;Figueirense;2;2;0;2;0;1;1
2016;25;303;2016_25_303;Ponte Preta;3;0;2;1;0;0;1
2016;25;344;2016_25_344;Santa Cruz;1;0;3;4;0;0;1
2016;25;294;2016_25_294;Coritiba;1;1;3;1;1;0;1
2016;25;275;2016_25_275;Palmeiras;1;1;2;1;0;1;1
2016;25;282;2016_25_282;Atlético-MG;1;0;0;1;0;1;1
2016;25;266;2016_25_266;Fluminense;1;2;3;4;0;0;1
2016;25;276;2016_25_276;São Paulo;1;0;0;0;0;1;1
