temporada_id;rodada_id;clube_mand_id;partida_id;clube_mand;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2015;8;266;2015_8_266;Fluminense;2;0;2;3;0;0;1
2015;9;314;2015_9_314;Avaí;1;2;3;3;0;0;1
2015;9;315;2015_9_315;Chapecoense;1;1;1;6;0;0;1
2015;9;264;2015_9_264;Corinthians;2;1;0;2;0;0;1
2015;9;282;2015_9_282;Atlético-MG;1;0;2;1;0;0;1
2015;9;275;2015_9_275;Palmeiras;4;0;1;3;0;0;1
2015;9;290;2015_9_290;Goiás;1;2;2;2;0;1;1
2015;9;303;2015_9_303;Ponte Preta;2;1;1;2;0;0;1
2015;9;294;2015_9_294;Coritiba;1;0;5;5;0;0;1
2015;9;267;2015_9_267;Vasco;1;0;4;0;0;0;1
2015;9;285;2015_9_285;Internacional;1;0;3;3;0;1;1
2015;10;292;2015_10_292;Sport;3;0;2;2;0;1;1
2015;10;267;2015_10_267;Vasco;1;0;3;2;1;1;1
2015;10;275;2015_10_275;Palmeiras;2;0;0;3;0;0;1
2015;10;282;2015_10_282;Atlético-MG;2;0;3;5;0;0;1
2015;10;317;2015_10_317;Joinville;0;1;3;2;0;0;1
2015;10;284;2015_10_284;Grêmio;1;0;5;6;0;0;1
2015;10;293;2015_10_293;Athletico-PR;2;1;2;0;0;0;1
2015;10;264;2015_10_264;Corinthians;2;0;1;2;0;0;1
2015;10;316;2015_10_316;Figueirense;3;1;2;2;1;0;1
2015;10;266;2015_10_266;Fluminense;2;1;2;3;0;0;1
2015;11;294;2015_11_294;Coritiba;0;0;1;2;0;0;1
2015;11;315;2015_11_315;Chapecoense;1;0;1;2;0;2;1
2015;11;283;2015_11_283;Cruzeiro;2;0;0;2;0;1;1
2015;11;314;2015_11_314;Avaí;2;2;6;2;1;0;1
2015;11;290;2015_11_290;Goiás;0;0;2;2;0;0;1
2015;11;276;2015_11_276;São Paulo;0;0;1;2;0;0;1
2015;11;277;2015_11_277;Santos;1;3;4;1;1;0;1
2015;11;303;2015_11_303;Ponte Preta;0;2;3;3;0;0;1
