temporada_id;rodada_id;partida_id;clube_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2017;1;2017_1_262;262;Flamengo;1;1;2;3;0;0;1
2017;1;2017_1_264;264;Corinthians;1;1;2;2;0;0;1
2017;1;2017_1_266;266;Fluminense;3;2;1;5;0;0;1
2017;1;2017_1_283;283;Cruzeiro;1;0;0;1;0;0;1
2017;1;2017_1_265;265;Bahia;6;2;0;1;0;1;1
2017;1;2017_1_303;303;Ponte Preta;4;0;0;2;0;0;1
2017;1;2017_1_314;314;Avaí;0;0;0;2;0;0;1
2017;1;2017_1_275;275;Palmeiras;4;0;0;2;0;0;1
2017;1;2017_1_284;284;Grêmio;2;0;2;5;0;0;1
2017;1;2017_1_294;294;Coritiba;4;1;1;2;0;0;1
2017;2;2017_2_277;277;Santos;1;0;6;4;0;0;1
2017;2;2017_2_373;373;Atlético-GO;0;3;2;1;0;0;1
2017;2;2017_2_315;315;Chapecoense;1;0;1;1;0;0;1
2017;2;2017_2_267;267;Vasco;2;1;4;2;0;1;1
2017;2;2017_2_293;293;Athletico-PR;0;2;2;4;0;1;1
2017;2;2017_2_287;287;Vitória;0;1;0;1;0;0;1
2017;2;2017_2_282;282;Atlético-MG;1;2;0;6;0;0;1
2017;2;2017_2_263;263;Botafogo;2;0;1;0;0;0;1
2017;2;2017_2_292;292;Sport;1;1;3;3;0;0;1
2017;2;2017_2_276;276;São Paulo;2;0;1;2;0;0;1
2017;3;2017_3_267;267;Vasco;3;2;2;3;0;0;1
2017;3;2017_3_276;276;São Paulo;2;0;3;1;0;0;1
2017;3;2017_3_287;287;Vitória;0;1;3;3;0;0;1
2017;3;2017_3_282;282;Atlético-MG;2;2;2;2;0;0;1
2017;3;2017_3_293;293;Athletico-PR;1;1;1;0;0;0;1
2017;3;2017_3_277;277;Santos;0;1;2;3;0;0;1
2017;3;2017_3_373;373;Atlético-GO;0;1;2;0;0;0;1
2017;3;2017_3_292;292;Sport;4;3;4;1;1;0;1
2017;3;2017_3_263;263;Botafogo;1;0;1;1;0;0;1
2017;3;2017_3_315;315;Chapecoense;2;0;2;1;1;1;1
2017;4;2017_4_294;294;Coritiba;1;0;3;2;0;0;1
2017;4;2017_4_266;266;Fluminense;2;1;0;5;0;0;1
2017;4;2017_4_264;264;Corinthians;2;0;0;1;0;1;1
2017;4;2017_4_262;262;Flamengo;0;0;2;2;0;0;1
2017;4;2017_4_314;314;Avaí;1;0;4;4;0;0;1
2017;4;2017_4_275;275;Palmeiras;0;0;2;4;0;0;1
2017;4;2017_4_303;303;Ponte Preta;1;0;2;5;0;0;1
2017;4;2017_4_284;284;Grêmio;2;0;2;3;0;0;1
2017;4;2017_4_283;283;Cruzeiro;0;2;1;3;0;0;1
2017;4;2017_4_265;265;Bahia;3;0;0;2;0;0;1
2017;5;2017_5_266;266;Fluminense;1;1;3;3;0;0;1
2017;5;2017_5_282;282;Atlético-MG;1;0;3;1;0;0;1
2017;5;2017_5_294;294;Coritiba;1;0;4;3;0;0;1
2017;5;2017_5_277;277;Santos;1;0;4;2;0;0;1
2017;5;2017_5_267;267;Vasco;2;5;0;3;0;0;1
2017;5;2017_5_292;292;Sport;2;0;2;2;0;0;1
2017;5;2017_5_373;373;Atlético-GO;3;0;1;2;0;1;1
2017;5;2017_5_276;276;São Paulo;2;0;1;1;0;0;1
2017;5;2017_5_315;315;Chapecoense;3;6;4;3;0;0;1
2017;5;2017_5_265;265;Bahia;1;0;4;2;0;1;1
2017;6;2017_6_275;275;Palmeiras;3;1;4;2;0;0;1
2017;6;2017_6_267;267;Vasco;2;1;0;1;0;0;1
2017;6;2017_6_263;263;Botafogo;2;2;4;3;0;0;1
2017;6;2017_6_303;303;Ponte Preta;3;2;2;4;0;0;1
2017;6;2017_6_314;314;Avaí;1;1;2;1;1;0;1
2017;6;2017_6_287;287;Vitória;2;0;3;2;0;0;1
2017;6;2017_6_264;264;Corinthians;3;2;1;1;0;0;1
2017;6;2017_6_283;283;Cruzeiro;2;0;3;4;0;0;1
2017;6;2017_6_293;293;Athletico-PR;0;2;1;1;0;1;1
2017;6;2017_6_284;284;Grêmio;1;0;0;1;0;0;1
2017;7;2017_7_282;282;Atlético-MG;0;1;2;5;0;1;1
2017;7;2017_7_373;373;Atlético-GO;3;1;3;6;0;0;1
2017;7;2017_7_287;287;Vitória;2;2;1;1;1;0;1
2017;7;2017_7_292;292;Sport;0;0;1;1;0;0;1
2017;7;2017_7_262;262;Flamengo;2;0;2;2;0;0;1
2017;7;2017_7_277;277;Santos;1;0;1;3;0;0;1
2017;7;2017_7_315;315;Chapecoense;2;1;3;2;0;0;1
2017;7;2017_7_264;264;Corinthians;1;0;0;1;0;0;1
2017;7;2017_7_294;294;Coritiba;0;0;1;4;1;1;1
2017;7;2017_7_266;266;Fluminense;0;2;4;3;0;0;1
2017;8;2017_8_373;373;Atlético-GO;0;1;1;5;0;0;1
2017;8;2017_8_267;267;Vasco;1;0;4;1;0;0;1
2017;8;2017_8_277;277;Santos;0;0;3;4;0;0;1
2017;8;2017_8_294;294;Coritiba;0;0;2;3;0;0;1
2017;8;2017_8_265;265;Bahia;2;4;2;5;0;0;1
2017;8;2017_8_266;266;Fluminense;2;2;1;6;0;0;1
2017;8;2017_8_315;315;Chapecoense;0;2;0;2;0;0;1
2017;8;2017_8_276;276;São Paulo;1;2;2;2;0;0;1
2017;8;2017_8_292;292;Sport;1;3;0;0;0;0;1
2017;8;2017_8_283;283;Cruzeiro;3;3;5;2;0;0;1
2017;9;2017_9_287;287;Vitória;0;2;2;1;0;0;1
2017;9;2017_9_275;275;Palmeiras;1;0;2;2;0;0;1
2017;9;2017_9_263;263;Botafogo;3;1;5;1;0;0;1
2017;9;2017_9_314;314;Avaí;0;3;1;1;0;0;1
2017;9;2017_9_293;293;Athletico-PR;1;0;3;3;0;0;1
2017;9;2017_9_282;282;Atlético-MG;2;2;2;1;0;0;1
2017;9;2017_9_264;264;Corinthians;3;0;3;3;1;1;1
2017;9;2017_9_303;303;Ponte Preta;1;0;2;2;0;0;1
2017;9;2017_9_284;284;Grêmio;2;0;2;0;0;0;1
2017;9;2017_9_262;262;Flamengo;5;1;3;1;0;0;1
2017;10;2017_10_277;277;Santos;0;1;0;1;0;0;1
2017;10;2017_10_267;267;Vasco;1;0;2;0;0;0;1
2017;10;2017_10_284;284;Grêmio;0;1;4;5;0;0;1
2017;10;2017_10_276;276;São Paulo;1;1;1;1;0;0;1
2017;10;2017_10_293;293;Athletico-PR;4;1;0;3;0;0;1
2017;10;2017_10_283;283;Cruzeiro;2;0;0;2;0;0;1
2017;10;2017_10_303;303;Ponte Preta;1;2;6;3;2;1;1
2017;10;2017_10_265;265;Bahia;0;1;2;3;1;0;1
2017;10;2017_10_315;315;Chapecoense;0;1;5;5;0;0;1
2017;10;2017_10_263;263;Botafogo;0;2;1;2;0;0;1
2017;11;2017_11_275;275;Palmeiras;1;0;3;1;0;0;1
2017;11;2017_11_373;373;Atlético-GO;1;1;3;1;1;0;1
2017;11;2017_11_292;292;Sport;1;0;1;3;0;0;1
2017;11;2017_11_287;287;Vitória;0;0;5;3;0;0;1
2017;11;2017_11_282;282;Atlético-MG;3;1;4;4;0;0;1
2017;11;2017_11_262;262;Flamengo;2;0;1;1;0;0;1
2017;11;2017_11_264;264;Corinthians;1;0;3;2;0;0;1
2017;11;2017_11_314;314;Avaí;0;0;2;2;0;0;1
2017;11;2017_11_294;294;Coritiba;2;2;3;5;0;0;1
2017;11;2017_11_266;266;Fluminense;3;3;3;5;0;1;1
2017;12;2017_12_373;373;Atlético-GO;1;2;1;4;0;0;1
2017;12;2017_12_267;267;Vasco;0;1;4;1;0;0;1
2017;12;2017_12_264;264;Corinthians;2;0;2;2;0;0;1
2017;12;2017_12_315;315;Chapecoense;1;1;1;3;0;0;1
2017;12;2017_12_265;265;Bahia;1;1;4;2;0;0;1
2017;12;2017_12_284;284;Grêmio;0;2;1;5;0;1;1
2017;12;2017_12_283;283;Cruzeiro;3;1;1;4;0;0;1
2017;12;2017_12_277;277;Santos;3;2;4;3;0;0;1
2017;12;2017_12_263;263;Botafogo;1;1;1;3;0;0;1
2017;12;2017_12_294;294;Coritiba;0;3;2;2;1;0;1
2017;13;2017_13_303;303;Ponte Preta;0;3;1;3;0;0;1
2017;13;2017_13_282;282;Atlético-MG;0;1;1;2;0;0;1
2017;13;2017_13_266;266;Fluminense;0;1;3;4;0;0;1
2017;13;2017_13_275;275;Palmeiras;0;2;3;4;0;0;1
2017;13;2017_13_293;293;Athletico-PR;0;2;3;1;0;0;1
2017;13;2017_13_287;287;Vitória;1;4;4;3;0;0;1
2017;13;2017_13_276;276;São Paulo;2;2;0;3;0;0;1
2017;13;2017_13_292;292;Sport;3;0;2;8;0;0;1
2017;13;2017_13_262;262;Flamengo;0;1;2;2;0;0;1
2017;13;2017_13_314;314;Avaí;1;4;2;2;0;0;1
2017;14;2017_14_264;264;Corinthians;2;2;0;0;0;0;1
2017;14;2017_14_275;275;Palmeiras;4;2;2;3;0;0;1
2017;14;2017_14_267;267;Vasco;0;0;4;3;0;1;1
2017;14;2017_14_373;373;Atlético-GO;1;2;2;3;0;0;1
2017;14;2017_14_315;315;Chapecoense;2;0;4;2;0;0;1
2017;14;2017_14_283;283;Cruzeiro;1;1;3;1;0;0;1
2017;14;2017_14_284;284;Grêmio;3;1;1;2;0;0;1
2017;14;2017_14_265;265;Bahia;1;1;2;0;0;0;1
2017;14;2017_14_294;294;Coritiba;1;2;4;4;0;0;1
2017;14;2017_14_263;263;Botafogo;2;1;4;3;0;0;1
2017;15;2017_15_287;287;Vitória;1;3;3;3;0;0;1
2017;15;2017_15_277;277;Santos;1;0;5;2;0;0;1
2017;15;2017_15_314;314;Avaí;0;0;2;3;0;0;1
2017;15;2017_15_303;303;Ponte Preta;4;0;1;0;0;0;1
2017;15;2017_15_282;282;Atlético-MG;0;2;4;6;0;0;1
2017;15;2017_15_276;276;São Paulo;1;0;3;3;0;0;1
2017;15;2017_15_262;262;Flamengo;2;2;2;9;0;0;1
2017;15;2017_15_266;266;Fluminense;1;1;3;3;0;0;1
2017;15;2017_15_292;292;Sport;4;0;2;1;0;0;1
2017;15;2017_15_293;293;Athletico-PR;0;0;3;5;0;1;1
2017;16;2017_16_287;287;Vitória;1;2;2;5;0;0;1
