temporada_id;rodada_id;partida_id;clube_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2019;1;2019_1_276;276;São Paulo;2;0;0;4;0;0;1
2019;1;2019_1_282;282;Atlético-MG;2;1;0;1;0;0;1
2019;1;2019_1_315;315;Chapecoense;2;0;1;1;0;0;1
2019;1;2019_1_262;262;Flamengo;3;1;4;5;0;1;1
2019;1;2019_1_284;284;Grêmio;1;2;3;4;0;1;1
2019;1;2019_1_265;265;Bahia;3;2;1;4;0;0;1
2019;1;2019_1_293;293;Athletico-PR;4;1;1;1;0;0;1
2019;1;2019_1_366;366;Ceará;4;0;0;0;0;1;1
2019;1;2019_1_275;275;Palmeiras;4;0;1;2;0;0;1
2019;1;2019_1_266;266;Fluminense;0;1;4;1;0;0;1
2019;2;2019_2_285;285;Internacional;2;1;3;2;0;0;1
2019;2;2019_2_341;341;CSA;1;1;0;0;0;0;1
2019;2;2019_2_264;264;Corinthians;1;0;2;1;0;0;1
2019;2;2019_2_283;283;Cruzeiro;1;0;1;0;0;0;1
2019;2;2019_2_314;314;Avaí;1;1;4;3;0;0;1
2019;2;2019_2_290;290;Goiás;1;2;3;2;0;1;1
2019;2;2019_2_267;267;Vasco;1;2;0;0;0;0;1
2019;2;2019_2_356;356;Fortaleza;2;1;3;3;0;0;1
2019;2;2019_2_277;277;Santos;2;1;3;2;0;0;1
2019;2;2019_2_263;263;Botafogo;3;2;3;0;0;0;1
2019;3;2019_3_267;267;Vasco;1;1;2;1;0;0;1
2019;3;2019_3_275;275;Palmeiras;1;0;2;5;0;0;1
2019;3;2019_3_366;366;Ceará;1;2;0;1;0;0;1
2019;3;2019_3_315;315;Chapecoense;1;1;1;3;0;0;1
2019;3;2019_3_276;276;São Paulo;1;1;1;7;0;0;1
2019;3;2019_3_263;263;Botafogo;1;0;0;2;0;0;1
2019;3;2019_3_341;341;CSA;0;0;1;4;0;0;1
2019;3;2019_3_283;283;Cruzeiro;2;1;1;2;0;1;1
2019;3;2019_3_284;284;Grêmio;4;5;2;1;0;0;1
2019;3;2019_3_265;265;Bahia;1;0;1;2;0;0;1
2019;4;2019_4_266;266;Fluminense;0;1;3;5;0;0;1
2019;4;2019_4_264;264;Corinthians;0;0;2;4;0;0;1
2019;4;2019_4_290;290;Goiás;2;1;2;2;0;0;1
2019;4;2019_4_262;262;Flamengo;2;1;2;3;0;0;1
2019;4;2019_4_277;277;Santos;3;0;2;4;0;1;1
2019;4;2019_4_282;282;Atlético-MG;0;2;1;3;0;0;1
2019;4;2019_4_285;285;Internacional;3;1;0;0;0;1;1
2019;4;2019_4_314;314;Avaí;0;0;1;2;0;0;1
2019;4;2019_4_293;293;Athletico-PR;1;0;2;3;0;0;1
2019;4;2019_4_356;356;Fortaleza;0;1;2;2;0;0;1
2019;5;2019_5_266;266;Fluminense;4;1;3;2;0;0;1
2019;5;2019_5_275;275;Palmeiras;4;0;2;4;0;0;1
2019;5;2019_5_282;282;Atlético-MG;2;1;3;1;1;0;1
2019;5;2019_5_276;276;São Paulo;0;0;1;3;1;0;1
2019;5;2019_5_285;285;Internacional;2;0;2;3;0;0;1
