rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
3,302618,294,"['v', 'd', 'd', 'd', 'd']",19,276,"['d', 'e', 'd', 'e', 'e']",10,1,1
3,302619,356,"['d', 'd', 'd', 'v', 'v']",8,266,"['d', 'v', 'v', 'd', 'v']",4,4,2
3,302613,275,"['v', 'v', 'd', 'v', 'v']",2,264,"['v', 'e', 'v', 'e', 'e']",13,2,1
3,302614,277,"['e', 'd', 'e', 'd', 'v']",17,327,"['e', 'd', 'd', 'd', 'd']",20,3,2
3,302615,280,"['e', 'v', 'v', 'e', 'd']",7,283,"['d', 'e', 'e', 'd', 'e']",12,0,3
3,302616,282,"['d', 'd', 'v', 'v', 'd']",11,293,"['v', 'e', 'e', 'v', 'e']",6,2,1
3,302611,262,"['v', 'd', 'e', 'v', 'e']",3,263,"['e', 'v', 'e', 'v', 'e']",1,2,3
3,302617,285,"['d', 'e', 'd', 'd', 'e']",14,290,"['e', 'v', 'v', 'e', 'e']",15,1,0
3,302620,1371,"['v', 'v', 'v', 'd', 'd']",9,284,"['v', 'e', 'd', 'v', 'd']",5,1,2
3,302612,267,"['d', 'd', 'v', 'e', 'v']",18,265,"['e', 'e', 'v', 'd', 'v']",16,0,1
