rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
10,302787,294,"['v', 'd', 'd', 'd', 'd']",19,277,"['e', 'd', 'e', 'd', 'v']",17,0,0
10,302778,264,"['v', 'e', 'v', 'e', 'e']",13,1371,"['v', 'v', 'v', 'd', 'd']",9,1,1
10,302783,282,"['d', 'd', 'v', 'v', 'd']",11,280,"['e', 'v', 'v', 'e', 'd']",7,1,1
10,302789,265,"['e', 'e', 'v', 'd', 'v']",16,283,"['d', 'e', 'e', 'd', 'e']",12,2,2
10,302774,263,"['e', 'v', 'e', 'v', 'e']",1,356,"['d', 'd', 'd', 'v', 'v']",8,2,0
10,302790,327,"['e', 'd', 'd', 'd', 'd']",20,293,"['v', 'e', 'e', 'v', 'e']",6,2,2
10,302776,276,"['d', 'e', 'd', 'e', 'e']",10,275,"['v', 'v', 'd', 'v', 'v']",2,0,2
10,302785,285,"['d', 'e', 'd', 'd', 'e']",14,267,"['d', 'd', 'v', 'e', 'v']",18,2,1
10,302771,262,"['v', 'd', 'e', 'v', 'e']",3,284,"['v', 'e', 'd', 'v', 'd']",5,3,0
10,302781,290,"['e', 'v', 'v', 'e', 'e']",15,266,"['d', 'v', 'v', 'd', 'v']",4,2,2
