rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
11,302803,276,"['d', 'e', 'd', 'e', 'e']",10,293,"['v', 'e', 'e', 'v', 'e']",6,2,1
11,302806,283,"['d', 'e', 'e', 'd', 'e']",12,356,"['d', 'd', 'd', 'v', 'v']",8,0,1
11,302804,277,"['e', 'd', 'e', 'd', 'v']",17,264,"['v', 'e', 'v', 'e', 'e']",13,0,2
11,302801,266,"['d', 'v', 'v', 'd', 'v']",4,282,"['d', 'd', 'v', 'v', 'd']",11,1,1
11,302809,265,"['e', 'e', 'v', 'd', 'v']",16,275,"['v', 'v', 'd', 'v', 'v']",2,1,0
11,302807,284,"['v', 'e', 'd', 'v', 'd']",5,327,"['e', 'd', 'd', 'd', 'd']",20,3,1
11,302802,267,"['d', 'd', 'v', 'e', 'v']",18,290,"['e', 'v', 'v', 'e', 'e']",15,0,1
11,302808,294,"['v', 'd', 'd', 'd', 'd']",19,285,"['d', 'e', 'd', 'd', 'e']",14,0,1
11,302810,1371,"['v', 'v', 'v', 'd', 'd']",9,263,"['e', 'v', 'e', 'v', 'e']",1,0,1
11,302805,280,"['e', 'v', 'v', 'e', 'd']",7,262,"['v', 'd', 'e', 'v', 'e']",3,4,0
