temporada_id;rodada_id;rodada_id;clube_id;clube_nome;clube_vis;clube_mand_gol;clube_vis_gol;clube_mand_ca;clube_vis_ca;clube_mand_cv;clube_vis_cv
2018;10;2018_10_263;263;Botafogo;0;0;0;3;0;0;1
2018;10;2018_10_264;264;Corinthians;1;1;3;2;0;0;1
2018;10;2018_10_292;292;Sport;1;0;2;4;0;0;1
2018;10;2018_10_284;284;Grêmio;0;2;2;5;0;0;1
2018;10;2018_10_283;283;Cruzeiro;1;1;1;1;0;0;1
2018;10;2018_10_383;383;Paraná;1;0;4;2;0;0;1
2018;10;2018_10_266;266;Fluminense;0;2;5;2;0;0;1
2018;10;2018_10_327;327;América-MG;1;3;2;2;0;0;1
2018;11;2018_11_293;293;Athletico-PR;0;1;3;3;0;0;1
2018;11;2018_11_315;315;Chapecoense;2;0;2;3;0;0;1
2018;11;2018_11_267;267;Vasco;3;2;4;3;0;0;1
2018;11;2018_11_264;264;Corinthians;0;0;2;2;0;0;1
2018;11;2018_11_282;282;Atlético-MG;5;2;2;2;0;0;1
2018;11;2018_11_265;265;Bahia;3;3;4;3;0;1;1
2018;11;2018_11_284;284;Grêmio;1;0;2;3;0;0;1
2018;11;2018_11_366;366;Ceará;2;2;3;2;0;0;1
2018;11;2018_11_262;262;Flamengo;2;0;2;0;0;0;1
2018;11;2018_11_277;277;Santos;1;2;3;4;1;0;1
2018;12;2018_12_276;276;São Paulo;3;0;4;3;1;1;1
2018;12;2018_12_327;327;América-MG;0;0;5;0;0;0;1
2018;12;2018_12_266;266;Fluminense;0;1;2;3;0;0;1
2018;12;2018_12_292;292;Sport;0;0;3;2;0;0;1
2018;12;2018_12_383;383;Paraná;1;1;8;2;0;0;1
2018;12;2018_12_275;275;Palmeiras;1;1;4;6;3;3;1
2018;12;2018_12_263;263;Botafogo;2;0;0;2;0;0;1
2018;12;2018_12_265;265;Bahia;1;0;2;1;0;0;1
2018;12;2018_12_285;285;Internacional;3;1;2;0;0;0;1
2018;12;2018_12_282;282;Atlético-MG;2;1;1;0;0;0;1
2018;13;2018_13_366;366;Ceará;1;0;0;0;0;0;1
2018;13;2018_13_287;287;Vitória;1;0;2;2;0;0;1
2018;13;2018_13_264;264;Corinthians;2;0;2;3;0;0;1
2018;13;2018_13_284;284;Grêmio;2;0;1;2;0;0;1
2018;13;2018_13_262;262;Flamengo;0;1;3;4;0;1;1
2018;13;2018_13_315;315;Chapecoense;1;1;1;2;0;0;1
2018;13;2018_13_283;283;Cruzeiro;3;1;3;1;0;0;1
2018;13;2018_13_267;267;Vasco;1;1;4;2;0;0;1
2018;13;2018_13_277;277;Santos;1;1;4;6;0;0;1
2018;13;2018_13_293;293;Athletico-PR;2;2;4;5;1;0;1
2018;14;2018_14_262;262;Flamengo;2;0;0;1;0;1;1
2018;14;2018_14_276;276;São Paulo;3;1;2;7;0;0;1
2018;14;2018_14_267;267;Vasco;1;0;5;6;1;0;1
2018;14;2018_14_275;275;Palmeiras;3;2;2;2;0;1;1
2018;14;2018_14_383;383;Paraná;1;0;3;3;0;0;1
2018;14;2018_14_265;265;Bahia;4;1;3;5;0;1;1
2018;14;2018_14_292;292;Sport;1;2;1;5;0;0;1
2018;14;2018_14_283;283;Cruzeiro;2;1;1;3;0;1;1
2018;14;2018_14_315;315;Chapecoense;0;0;1;4;0;0;1
2018;14;2018_14_285;285;Internacional;1;0;2;3;0;0;1
2018;15;2018_15_266;266;Fluminense;1;0;2;2;0;1;1
2018;15;2018_15_282;282;Atlético-MG;2;0;1;1;1;0;1
2018;15;2018_15_264;264;Corinthians;2;0;0;2;0;0;1
2018;15;2018_15_277;277;Santos;1;1;1;1;0;0;1
