temporada_id;rodada_id;partida_id;clube_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2022;10;2022_10_327;327;América-MG;0;2;2;3;0;0;1
2022;10;2022_10_286;286;Juventude;1;3;2;4;0;0;1
2022;10;2022_10_373;373;Atlético-GO;2;1;1;4;0;1;1
2022;10;2022_10_280;280;Bragantino;1;0;1;4;1;0;1
2022;10;2022_10_266;266;Fluminense;5;3;3;3;0;0;1
2022;10;2022_10_277;277;Santos;1;1;2;1;0;0;1
2022;10;2022_10_275;275;Palmeiras;4;0;1;1;0;0;1
2022;10;2022_10_294;294;Coritiba;1;1;3;3;0;0;1
2022;10;2022_10_356;356;Fortaleza;1;1;1;2;0;0;1
2022;11;2022_11_264;264;Corinthians;2;0;1;4;0;0;1
2022;11;2022_11_282;282;Atlético-MG;1;1;4;4;0;1;1
2022;11;2022_11_266;266;Fluminense;0;2;3;2;1;0;1
2022;11;2022_11_1371;1371;Cuiabá;1;1;1;3;0;0;1
2022;11;2022_11_285;285;Internacional;3;1;3;3;0;0;1
2022;11;2022_11_290;290;Goiás;1;1;6;2;0;1;1
2022;11;2022_11_276;276;São Paulo;1;0;2;2;0;0;1
2022;11;2022_11_294;294;Coritiba;0;2;1;2;1;0;1
2022;11;2022_11_356;356;Fortaleza;0;0;1;3;0;0;1
2022;11;2022_11_263;263;Botafogo;0;1;4;5;0;1;1
2022;12;2022_12_286;286;Juventude;1;2;1;2;1;0;1
2022;12;2022_12_366;366;Ceará;0;0;2;3;0;0;1
2022;12;2022_12_280;280;Bragantino;4;2;2;1;0;0;1
2022;12;2022_12_290;290;Goiás;1;2;4;3;0;0;1
2022;12;2022_12_262;262;Flamengo;2;0;1;2;0;0;1
2022;12;2022_12_293;293;Athletico-PR;1;1;2;2;1;1;1
2022;12;2022_12_327;327;América-MG;0;0;3;1;1;0;1
2022;12;2022_12_263;263;Botafogo;1;0;6;3;0;0;1
2022;12;2022_12_275;275;Palmeiras;4;2;2;1;0;1;1
2022;12;2022_12_314;314;Avaí;3;2;1;3;0;0;1
2022;13;2022_13_1371;1371;Cuiabá;0;0;0;2;0;0;1
2022;13;2022_13_277;277;Santos;2;2;4;3;0;0;1
2022;13;2022_13_282;282;Atlético-MG;2;0;4;1;0;0;1
2022;13;2022_13_294;294;Coritiba;0;1;5;6;2;0;1
2022;13;2022_13_264;264;Corinthians;1;0;1;4;0;0;1
2022;13;2022_13_285;285;Internacional;2;3;5;6;2;2;1
2022;13;2022_13_356;356;Fortaleza;1;0;1;0;0;0;1
2022;13;2022_13_373;373;Atlético-GO;3;1;3;4;0;1;1
2022;13;2022_13_266;266;Fluminense;2;0;0;3;0;0;1
2022;13;2022_13_276;276;São Paulo;1;2;3;1;0;0;1
2022;14;2022_14_285;285;Internacional;3;0;2;4;0;0;1
2022;14;2022_14_293;293;Athletico-PR;4;2;4;1;0;0;1
2022;14;2022_14_262;262;Flamengo;3;0;1;2;0;0;1
2022;14;2022_14_264;264;Corinthians;0;0;3;3;0;0;1
2022;14;2022_14_282;282;Atlético-MG;3;2;0;5;0;0;1
2022;14;2022_14_314;314;Avaí;2;2;4;1;0;0;1
2022;14;2022_14_263;263;Botafogo;0;1;3;2;0;0;1
2022;14;2022_14_290;290;Goiás;1;0;3;4;0;1;1
2022;14;2022_14_366;366;Ceará;1;1;2;2;0;0;1
2022;14;2022_14_276;276;São Paulo;0;0;3;4;0;0;1
2022;15;2022_15_286;286;Juventude;1;2;2;1;0;0;1
2022;15;2022_15_266;266;Fluminense;4;0;0;3;0;0;1
2022;15;2022_15_277;277;Santos;1;2;4;2;0;0;1
2022;15;2022_15_366;366;Ceará;1;1;4;3;0;1;1
2022;15;2022_15_275;275;Palmeiras;0;2;1;2;1;0;1
2022;15;2022_15_314;314;Avaí;1;2;0;0;0;0;1
2022;15;2022_15_373;373;Atlético-GO;1;2;5;7;0;0;1
2022;15;2022_15_327;327;América-MG;1;0;2;2;0;0;1
2022;15;2022_15_294;294;Coritiba;2;1;2;3;1;0;1
2022;15;2022_15_280;280;Bragantino;0;1;1;4;1;0;1
2022;16;2022_16_280;280;Bragantino;4;0;1;3;0;0;1
2022;16;2022_16_266;266;Fluminense;2;1;2;3;0;0;1
2022;16;2022_16_290;290;Goiás;2;1;2;1;0;0;1
2022;16;2022_16_294;294;Coritiba;2;2;1;2;0;0;1
2022;16;2022_16_264;264;Corinthians;1;0;2;4;0;0;1
2022;16;2022_16_277;277;Santos;1;0;5;4;0;0;1
2022;16;2022_16_356;356;Fortaleza;0;0;0;1;0;0;1
