rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
19,302773,263,"['e', 'v', 'e', 'v', 'e']",1,285,"['d', 'e', 'd', 'd', 'e']",14,3,1
19,302780,282,"['d', 'd', 'v', 'v', 'd']",11,265,"['e', 'e', 'v', 'd', 'v']",16,1,0
19,302777,264,"['v', 'e', 'v', 'e', 'e']",13,294,"['v', 'd', 'd', 'd', 'd']",19,3,1
19,302782,284,"['v', 'e', 'd', 'v', 'd']",5,266,"['d', 'v', 'v', 'd', 'v']",4,2,1
19,302788,327,"['e', 'd', 'd', 'd', 'd']",20,290,"['e', 'v', 'v', 'e', 'e']",15,0,1
19,302772,262,"['v', 'd', 'e', 'v', 'e']",3,276,"['d', 'e', 'd', 'e', 'e']",10,1,1
19,302786,356,"['d', 'd', 'd', 'v', 'v']",8,277,"['e', 'd', 'e', 'd', 'v']",17,4,0
19,302775,275,"['v', 'v', 'd', 'v', 'v']",2,283,"['d', 'e', 'e', 'd', 'e']",12,1,0
19,302779,280,"['e', 'v', 'v', 'e', 'd']",7,267,"['d', 'd', 'v', 'e', 'v']",18,1,1
19,302784,293,"['v', 'e', 'e', 'v', 'e']",6,1371,"['v', 'v', 'v', 'd', 'd']",9,2,0
