rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
13,302853,276,"['d', 'e', 'd', 'e', 'e']",10,266,"['d', 'v', 'v', 'd', 'v']",4,1,0
13,302851,262,"['v', 'd', 'e', 'v', 'e']",3,356,"['d', 'd', 'd', 'v', 'v']",8,2,0
13,302859,265,"['e', 'e', 'v', 'd', 'v']",16,284,"['v', 'e', 'd', 'v', 'd']",5,1,2
13,302857,285,"['d', 'e', 'd', 'd', 'e']",14,283,"['d', 'e', 'e', 'd', 'e']",12,0,0
13,302854,264,"['v', 'e', 'v', 'e', 'e']",13,280,"['e', 'v', 'v', 'e', 'd']",7,0,1
13,302852,263,"['e', 'v', 'e', 'v', 'e']",1,267,"['d', 'd', 'v', 'e', 'v']",18,2,0
13,302856,282,"['d', 'd', 'v', 'v', 'd']",11,327,"['e', 'd', 'd', 'd', 'd']",20,2,2
13,302858,293,"['v', 'e', 'e', 'v', 'e']",6,275,"['v', 'v', 'd', 'v', 'v']",2,2,2
13,302860,1371,"['v', 'v', 'v', 'd', 'd']",9,277,"['e', 'd', 'e', 'd', 'v']",17,3,0
13,302855,290,"['e', 'v', 'v', 'e', 'e']",15,294,"['v', 'd', 'd', 'd', 'd']",19,1,2
