rodada_id,clube_mand,clube_vis,clube_mand_gol,clube_vis_gol,clube_mand_ca,clube_vis_ca,clube_mand_cv,clube_vis_cv
"{'home': 'Cuiabá', 'away': 'Juventude'}",Cuiabá,Juventude,2,2,1,3,0,0
"{'home': 'Bahia', 'away': 'Santos'}",Bahia,Santos,3,0,3,3,0,0
"{'home': 'São Paulo', 'away': 'Fluminense'}",São Paulo,Fluminense,0,0,1,2,0,0
"{'home': 'Atlético-MG', 'away': 'Fortaleza'}",Atlético-MG,Fortaleza,1,2,2,4,0,0
"{'home': 'Flamengo', 'away': 'Palmeiras'}",Flamengo,Palmeiras,1,0,2,3,0,0
"{'home': 'Ceará SC', 'away': 'Grêmio'}",Ceará SC,Grêmio,3,2,3,3,0,0
"{'home': 'Corinthians', 'away': 'Atlético-GO'}",Corinthians,Atlético-GO,0,1,5,3,0,0
"{'home': 'Chapecoense', 'away': 'Bragantino'}",Chapecoense,Bragantino,0,3,1,0,0,0
"{'home': 'Athletico-PR', 'away': 'América-MG'}",Athletico-PR,América-MG,1,0,1,2,0,0
"{'home': 'Internacional', 'away': 'Sport Recife'}",Internacional,Sport Recife,2,2,4,2,0,0
"{'home': 'Atlético-GO', 'away': 'São Paulo'}",Atlético-GO,São Paulo,2,0,4,5,0,0
"{'home': 'Santos', 'away': 'Ceará SC'}",Santos,Ceará SC,3,1,3,1,0,0
"{'home': 'Bragantino', 'away': 'Bahia'}",Bragantino,Bahia,3,3,2,4,0,0
"{'home': 'Fluminense', 'away': 'Cuiabá'}",Fluminense,Cuiabá,1,0,2,1,0,0
"{'home': 'América-MG', 'away': 'Corinthians'}",América-MG,Corinthians,0,1,2,3,0,0
"{'home': 'Fortaleza', 'away': 'Internacional'}",Fortaleza,Internacional,5,1,1,4,0,2
"{'home': 'Juventude', 'away': 'Athletico-PR'}",Juventude,Athletico-PR,0,3,0,2,0,0
"{'home': 'Palmeiras', 'away': 'Chapecoense'}",Palmeiras,Chapecoense,3,1,2,0,0,0
"{'home': 'Sport Recife', 'away': 'Atlético-MG'}",Sport Recife,Atlético-MG,0,1,3,2,0,0
"{'home': 'Grêmio', 'away': 'Flamengo'}",Grêmio,Flamengo,2,2,3,2,2,0
"{'home': 'Santos', 'away': 'Juventude'}",Santos,Juventude,0,0,2,3,0,0
"{'home': 'Palmeiras', 'away': 'Corinthians'}",Palmeiras,Corinthians,1,1,3,0,0,0
"{'home': 'Atlético-MG', 'away': 'São Paulo'}",Atlético-MG,São Paulo,1,0,0,1,0,0
"{'home': 'Grêmio', 'away': 'Athletico-PR'}",Grêmio,Athletico-PR,0,1,5,4,0,0
"{'home': 'Flamengo', 'away': 'América-MG'}",Flamengo,América-MG,2,0,0,0,0,0
"{'home': 'Bahia', 'away': 'Internacional'}",Bahia,Internacional,0,1,4,4,0,1
"{'home': 'Fortaleza', 'away': 'Sport Recife'}",Fortaleza,Sport Recife,1,0,3,3,0,1
"{'home': 'Bragantino', 'away': 'Fluminense'}",Bragantino,Fluminense,2,2,3,1,0,0
"{'home': 'Chapecoense', 'away': 'Ceará SC'}",Chapecoense,Ceará SC,0,0,2,2,0,0
"{'home': 'Cuiabá', 'away': 'Atlético-GO'}",Cuiabá,Atlético-GO,2,1,5,4,0,1
"{'home': 'Internacional', 'away': 'Atlético-MG'}",Internacional,Atlético-MG,0,1,3,1,0,0
"{'home': 'São Paulo', 'away': 'Chapecoense'}",São Paulo,Chapecoense,1,1,3,2,1,0
"{'home': 'Corinthians', 'away': 'Bragantino'}",Corinthians,Bragantino,1,2,2,0,0,0
"{'home': 'Juventude', 'away': 'Palmeiras'}",Juventude,Palmeiras,0,3,0,3,0,0
"{'home': 'América-MG', 'away': 'Cuiabá'}",América-MG,Cuiabá,0,0,1,1,0,0
"{'home': 'Ceará SC', 'away': 'Bahia'}",Ceará SC,Bahia,1,2,3,5,0,0
"{'home': 'Sport Recife', 'away': 'Grêmio'}",Sport Recife,Grêmio,1,0,5,4,0,0
"{'home': 'Atlético-GO', 'away': 'Fortaleza'}",Atlético-GO,Fortaleza,0,0,3,1,0,0
"{'home': 'Fluminense', 'away': 'Santos'}",Fluminense,Santos,1,0,4,3,0,0
"{'home': 'Athletico-PR', 'away': 'Flamengo'}",Athletico-PR,Flamengo,2,2,4,2,0,0
"{'home': 'Flamengo', 'away': 'Bragantino'}",Flamengo,Bragantino,2,3,2,3,0,0
"{'home': 'Palmeiras', 'away': 'América-MG'}",Palmeiras,América-MG,2,1,3,4,0,0
"{'home': 'Bahia', 'away': 'Corinthians'}",Bahia,Corinthians,0,0,1,3,0,0
"{'home': 'Internacional', 'away': 'Ceará SC'}",Internacional,Ceará SC,1,1,2,3,0,0
"{'home': 'Fortaleza', 'away': 'Fluminense'}",Fortaleza,Fluminense,1,1,3,0,0,0
"{'home': 'Athletico-PR', 'away': 'Atlético-GO'}",Athletico-PR,Atlético-GO,2,1,2,2,0,0
"{'home': 'Santos', 'away': 'São Paulo'}",Santos,São Paulo,2,0,2,4,0,0
"{'home': 'Juventude', 'away': 'Sport Recife'}",Juventude,Sport Recife,1,0,4,0,0,0
"{'home': 'Atlético-MG', 'away': 'Chapecoense'}",Atlético-MG,Chapecoense,1,1,1,1,0,0
"{'home': 'Cuiabá', 'away': 'Grêmio'}",Cuiabá,Grêmio,0,1,1,5,0,0
"{'home': 'Atlético-GO', 'away': 'Fluminense'}",Atlético-GO,Fluminense,1,0,3,3,0,0
"{'home': 'São Paulo', 'away': 'Cuiabá'}",São Paulo,Cuiabá,2,2,1,1,0,0
"{'home': 'Flamengo', 'away': 'Fortaleza'}",Flamengo,Fortaleza,2,1,1,1,0,0
"{'home': 'Bragantino', 'away': 'Palmeiras'}",Bragantino,Palmeiras,3,1,3,3,0,0
"{'home': 'América-MG', 'away': 'Juventude'}",América-MG,Juventude,1,1,2,2,1,0
"{'home': 'Chapecoense', 'away': 'Internacional'}",Chapecoense,Internacional,1,2,2,3,1,2
"{'home': 'Corinthians', 'away': 'Sport Recife'}",Corinthians,Sport Recife,2,1,0,3,0,0
"{'home': 'Ceará SC', 'away': 'Atlético-MG'}",Ceará SC,Atlético-MG,2,1,3,4,0,0
"{'home': 'Bahia', 'away': 'Athletico-PR'}",Bahia,Athletico-PR,2,1,2,1,0,2
"{'home': 'Grêmio', 'away': 'Santos'}",Grêmio,Santos,2,2,2,3,0,0
"{'home': 'Juventude', 'away': 'Flamengo'}",Juventude,Flamengo,1,0,2,1,0,0
"{'home': 'Fluminense', 'away': 'Corinthians'}",Fluminense,Corinthians,1,1,3,1,1,0
"{'home': 'Palmeiras', 'away': 'Bahia'}",Palmeiras,Bahia,3,2,3,4,0,0
"{'home': 'Athletico-PR', 'away': 'Chapecoense'}",Athletico-PR,Chapecoense,2,2,1,1,0,0
"{'home': 'Grêmio', 'away': 'Fortaleza'}",Grêmio,Fortaleza,0,0,2,4,1,0
"{'home': 'Santos', 'away': 'Atlético-MG'}",Santos,Atlético-MG,2,0,4,3,0,1
"{'home': 'América-MG', 'away': 'Internacional'}",América-MG,Internacional,1,1,2,3,0,0
"{'home': 'Sport Recife', 'away': 'Cuiabá'}",Sport Recife,Cuiabá,0,0,0,1,0,0
"{'home': 'Ceará SC', 'away': 'São Paulo'}",Ceará SC,São Paulo,1,1,4,6,0,0
"{'home': 'Atlético-GO', 'away': 'Bragantino'}",Atlético-GO,Bragantino,0,1,2,2,0,0
