rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
16,302651,262,"['v', 'd', 'e', 'v', 'e']",3,327,"['e', 'd', 'd', 'd', 'd']",20,1,1
16,302653,275,"['v', 'v', 'd', 'v', 'v']",2,356,"['d', 'd', 'd', 'v', 'v']",8,3,1
16,302664,265,"['e', 'e', 'v', 'd', 'v']",16,264,"['v', 'e', 'v', 'e', 'e']",13,0,0
16,302665,1371,"['v', 'v', 'v', 'd', 'd']",9,276,"['d', 'e', 'd', 'e', 'e']",10,2,1
16,302660,284,"['v', 'e', 'd', 'v', 'd']",5,282,"['d', 'd', 'v', 'v', 'd']",11,1,0
16,302654,277,"['e', 'd', 'e', 'd', 'v']",17,263,"['e', 'v', 'e', 'v', 'e']",1,2,2
16,302656,280,"['e', 'v', 'v', 'e', 'd']",7,285,"['d', 'e', 'd', 'd', 'e']",14,0,0
16,302658,283,"['d', 'e', 'e', 'd', 'e']",12,290,"['e', 'v', 'v', 'e', 'e']",15,0,1
16,302652,267,"['d', 'd', 'v', 'e', 'v']",18,293,"['v', 'e', 'e', 'v', 'e']",6,0,2
16,302662,294,"['v', 'd', 'd', 'd', 'd']",19,266,"['d', 'v', 'v', 'd', 'v']",4,2,0
