rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
1,302573,275,"['d', 'v', 'v', 'v', 'e']",2,1371,"['v', 'd', 'd', 'd', 'd']",10,2.0,1.0
1,302580,327,"['d', 'd', 'd', 'v', 'v']",19,266,"['v', 'd', 'v', 'e', 'v']",5,0.0,3.0
1,302572,263,"['e', 'v', 'e', 'v', 'd']",1,276,"['e', 'd', 'e', 'e', 'd']",11,2.0,1.0
1,302575,280,"['v', 'e', 'd', 'v', 'e']",6,265,"['v', 'd', 'v', 'd', 'e']",16,2.0,1.0
1,302578,293,"['e', 'v', 'e', 'e', 'e']",7,290,"['v', 'v', 'e', 'e', 'e']",15,2.0,0.0
1,302579,356,"['d', 'v', 'v', 'v', 'd']",8,285,"['e', 'd', 'd', 'e', 'e']",14,1.0,1.0
1,302576,282,"['v', 'v', 'd', 'v', 'e']",9,267,"['v', 'e', 'v', 'd', 'e']",18,1.0,2.0
1,302571,262,"['d', 'e', 'v', 'e', 'v']",4,294,"['d', 'd', 'd', 'd', 'd']",20,3.0,0.0
1,302574,264,"['e', 'v', 'e', 'e', 'e']",13,283,"['e', 'd', 'e', 'd', 'e']",12,2.0,1.0
1,302577,284,"['d', 'v', 'd', 'v', 'v']",3,277,"['e', 'd', 'v', 'd', 'd']",17,1.0,0.0
2,302591,266,"['v', 'd', 'v', 'e', 'v']",5,293,"['e', 'v', 'e', 'e', 'e']",7,2.0,0.0
2,302593,276,"['e', 'd', 'e', 'e', 'd']",11,327,"['d', 'd', 'd', 'v', 'v']",19,3.0,0.0
2,302600,1371,"['v', 'd', 'd', 'd', 'd']",10,280,"['v', 'e', 'd', 'v', 'e']",6,1.0,1.0
2,302596,283,"['e', 'd', 'e', 'd', 'e']",12,284,"['d', 'v', 'd', 'v', 'v']",3,1.0,0.0
2,302597,285,"['e', 'd', 'd', 'e', 'e']",14,262,"['d', 'e', 'v', 'e', 'v']",4,2.0,1.0
2,302592,267,"['v', 'e', 'v', 'd', 'e']",18,275,"['d', 'v', 'v', 'v', 'e']",2,2.0,2.0
2,302594,277,"['e', 'd', 'v', 'd', 'd']",17,282,"['v', 'v', 'd', 'v', 'e']",9,0.0,0.0
2,302598,294,"['d', 'd', 'd', 'd', 'd']",20,356,"['d', 'v', 'v', 'v', 'd']",8,0.0,3.0
2,302595,290,"['v', 'v', 'e', 'e', 'e']",15,264,"['e', 'v', 'e', 'e', 'e']",13,3.0,1.0
2,302599,265,"['v', 'd', 'v', 'd', 'e']",16,263,"['e', 'v', 'e', 'v', 'd']",1,1.0,2.0
3,302618,294,"['d', 'd', 'd', 'd', 'd']",20,276,"['e', 'd', 'e', 'e', 'd']",11,1.0,1.0
3,302619,356,"['d', 'v', 'v', 'v', 'd']",8,266,"['v', 'd', 'v', 'e', 'v']",5,4.0,2.0
3,302613,275,"['d', 'v', 'v', 'v', 'e']",2,264,"['e', 'v', 'e', 'e', 'e']",13,2.0,1.0
3,302614,277,"['e', 'd', 'v', 'd', 'd']",17,327,"['d', 'd', 'd', 'v', 'v']",19,3.0,2.0
3,302615,280,"['v', 'e', 'd', 'v', 'e']",6,283,"['e', 'd', 'e', 'd', 'e']",12,0.0,3.0
3,302616,282,"['v', 'v', 'd', 'v', 'e']",9,293,"['e', 'v', 'e', 'e', 'e']",7,2.0,1.0
3,302611,262,"['d', 'e', 'v', 'e', 'v']",4,263,"['e', 'v', 'e', 'v', 'd']",1,2.0,3.0
3,302617,285,"['e', 'd', 'd', 'e', 'e']",14,290,"['v', 'v', 'e', 'e', 'e']",15,1.0,0.0
3,302620,1371,"['v', 'd', 'd', 'd', 'd']",10,284,"['d', 'v', 'd', 'v', 'v']",3,1.0,2.0
3,302612,267,"['v', 'e', 'v', 'd', 'e']",18,265,"['v', 'd', 'v', 'd', 'e']",16,0.0,1.0
4,302646,283,"['e', 'd', 'e', 'd', 'e']",12,277,"['e', 'd', 'v', 'd', 'd']",17,2.0,1.0
4,302641,266,"['v', 'd', 'v', 'e', 'v']",5,267,"['v', 'e', 'v', 'd', 'e']",18,1.0,1.0
4,302650,327,"['d', 'd', 'd', 'v', 'v']",19,1371,"['v', 'd', 'd', 'd', 'd']",10,1.0,2.0
4,302643,276,"['e', 'd', 'e', 'e', 'd']",11,285,"['e', 'd', 'd', 'e', 'e']",14,2.0,0.0
4,302648,293,"['e', 'v', 'e', 'e', 'e']",7,262,"['d', 'e', 'v', 'e', 'v']",4,2.0,1.0
4,302649,265,"['v', 'd', 'v', 'd', 'e']",16,294,"['d', 'd', 'd', 'd', 'd']",20,3.0,1.0
4,302642,263,"['e', 'v', 'e', 'v', 'd']",1,282,"['v', 'v', 'd', 'v', 'e']",9,2.0,0.0
4,302645,290,"['v', 'v', 'e', 'e', 'e']",15,275,"['d', 'v', 'v', 'v', 'e']",2,0.0,5.0
4,302647,284,"['d', 'v', 'd', 'v', 'v']",3,280,"['v', 'e', 'd', 'v', 'e']",6,3.0,3.0
4,302644,264,"['e', 'v', 'e', 'e', 'e']",13,356,"['d', 'v', 'v', 'v', 'd']",8,1.0,1.0
5,302661,277,"['e', 'd', 'v', 'd', 'd']",17,265,"['v', 'd', 'v', 'd', 'e']",16,3.0,0.0
5,302663,280,"['v', 'e', 'd', 'v', 'e']",6,327,"['d', 'd', 'd', 'v', 'v']",19,2.0,2.0
5,302667,285,"['e', 'd', 'd', 'e', 'e']",14,293,"['e', 'v', 'e', 'e', 'e']",7,0.0,2.0
5,302655,262,"['d', 'e', 'v', 'e', 'v']",4,290,"['v', 'v', 'e', 'e', 'e']",15,2.0,0.0
5,302670,1371,"['v', 'd', 'd', 'd', 'd']",10,282,"['v', 'v', 'd', 'v', 'e']",9,0.0,4.0
5,302659,275,"['d', 'v', 'v', 'v', 'e']",2,284,"['d', 'v', 'd', 'v', 'v']",3,4.0,1.0
5,302666,283,"['e', 'd', 'e', 'd', 'e']",12,266,"['v', 'd', 'v', 'e', 'v']",5,0.0,2.0
5,302668,294,"['d', 'd', 'd', 'd', 'd']",20,267,"['v', 'e', 'v', 'd', 'e']",18,1.0,1.0
5,302657,263,"['e', 'v', 'e', 'v', 'd']",1,264,"['e', 'v', 'e', 'e', 'e']",13,3.0,0.0
5,302669,356,"['d', 'v', 'v', 'v', 'd']",8,276,"['e', 'd', 'e', 'e', 'd']",11,0.0,0.0
6,302699,265,"['v', 'd', 'v', 'd', 'e']",16,262,"['d', 'e', 'v', 'e', 'v']",4,2.0,3.0
6,302691,266,"['v', 'd', 'v', 'e', 'v']",5,1371,"['v', 'd', 'd', 'd', 'd']",10,2.0,0.0
6,302693,275,"['d', 'v', 'v', 'v', 'e']",2,280,"['v', 'e', 'd', 'v', 'e']",6,1.0,1.0
6,302696,282,"['v', 'v', 'd', 'v', 'e']",9,285,"['e', 'd', 'd', 'e', 'e']",14,2.0,0.0
6,302692,267,"['v', 'e', 'v', 'd', 'e']",18,277,"['e', 'd', 'v', 'd', 'd']",17,0.0,1.0
6,302694,264,"['e', 'v', 'e', 'e', 'e']",13,276,"['e', 'd', 'e', 'e', 'd']",11,1.0,1.0
6,302697,284,"['d', 'v', 'd', 'v', 'v']",3,356,"['d', 'v', 'v', 'v', 'd']",8,0.0,0.0
6,302695,290,"['v', 'v', 'e', 'e', 'e']",15,263,"['e', 'v', 'e', 'v', 'd']",1,2.0,1.0
6,302698,293,"['e', 'v', 'e', 'e', 'e']",7,294,"['d', 'd', 'd', 'd', 'd']",20,3.0,2.0
6,302700,327,"['d', 'd', 'd', 'v', 'v']",19,283,"['e', 'd', 'e', 'd', 'e']",12,0.0,4.0
7,302719,265,"['v', 'd', 'v', 'd', 'e']",16,290,"['v', 'v', 'e', 'e', 'e']",15,1.0,1.0
7,302712,263,"['e', 'v', 'e', 'v', 'd']",1,266,"['v', 'd', 'v', 'e', 'v']",5,1.0,0.0
7,302713,276,"['e', 'd', 'e', 'e', 'd']",11,267,"['v', 'e', 'v', 'd', 'e']",18,4.0,2.0
7,302715,280,"['v', 'e', 'd', 'v', 'e']",6,293,"['e', 'v', 'e', 'e', 'e']",7,2.0,0.0
7,302718,294,"['d', 'd', 'd', 'd', 'd']",20,282,"['v', 'v', 'd', 'v', 'e']",9,1.0,2.0
7,302720,327,"['d', 'd', 'd', 'v', 'v']",19,356,"['d', 'v', 'v', 'v', 'd']",8,2.0,1.0
7,302714,277,"['e', 'd', 'v', 'd', 'd']",17,275,"['d', 'v', 'v', 'v', 'e']",2,0.0,0.0
7,302711,262,"['d', 'e', 'v', 'e', 'v']",4,264,"['e', 'v', 'e', 'e', 'e']",13,1.0,0.0
7,302717,284,"['d', 'v', 'd', 'v', 'v']",3,285,"['e', 'd', 'd', 'e', 'e']",14,3.0,1.0
7,302716,283,"['e', 'd', 'e', 'd', 'e']",12,1371,"['v', 'd', 'd', 'd', 'd']",10,0.0,1.0
8,302744,293,"['e', 'v', 'e', 'e', 'e']",7,284,"['d', 'v', 'd', 'v', 'v']",3,1.0,2.0
8,302745,356,"['d', 'v', 'v', 'v', 'd']",8,267,"['v', 'e', 'v', 'd', 'e']",18,2.0,0.0
8,302737,262,"['d', 'e', 'v', 'e', 'v']",4,283,"['e', 'd', 'e', 'd', 'e']",12,1.0,1.0
8,302746,1371,"['v', 'd', 'd', 'd', 'd']",10,294,"['d', 'd', 'd', 'd', 'd']",20,1.0,1.0
8,302739,276,"['e', 'd', 'e', 'e', 'd']",11,290,"['v', 'v', 'e', 'e', 'e']",15,2.0,1.0
8,302740,264,"['e', 'v', 'e', 'e', 'e']",13,266,"['v', 'd', 'v', 'e', 'v']",5,2.0,0.0
8,302743,285,"['e', 'd', 'd', 'e', 'e']",14,265,"['v', 'd', 'v', 'd', 'e']",16,2.0,0.0
8,302741,280,"['v', 'e', 'd', 'v', 'e']",6,277,"['e', 'd', 'v', 'd', 'd']",17,2.0,0.0
8,302742,282,"['v', 'v', 'd', 'v', 'e']",9,275,"['d', 'v', 'v', 'v', 'e']",2,1.0,1.0
8,302738,263,"['e', 'v', 'e', 'v', 'd']",1,327,"['d', 'd', 'd', 'v', 'v']",19,2.0,0.0
9,302759,356,"['d', 'v', 'v', 'v', 'd']",8,265,"['v', 'd', 'v', 'd', 'e']",16,0.0,0.0
9,302756,283,"['e', 'd', 'e', 'd', 'e']",12,282,"['v', 'v', 'd', 'v', 'e']",9,0.0,1.0
9,302758,293,"['e', 'v', 'e', 'e', 'e']",7,263,"['e', 'v', 'e', 'v', 'd']",1,1.0,0.0
9,302760,327,"['d', 'd', 'd', 'v', 'v']",19,264,"['e', 'v', 'e', 'e', 'e']",13,2.0,0.0
9,302754,277,"['e', 'd', 'v', 'd', 'd']",17,285,"['e', 'd', 'd', 'e', 'e']",14,1.0,1.0
9,302751,266,"['v', 'd', 'v', 'e', 'v']",5,280,"['v', 'e', 'd', 'v', 'e']",6,2.0,1.0
9,302757,284,"['d', 'v', 'd', 'v', 'v']",3,276,"['e', 'd', 'e', 'e', 'd']",11,2.0,1.0
9,302753,275,"['d', 'v', 'v', 'v', 'e']",2,294,"['d', 'd', 'd', 'd', 'd']",20,3.0,1.0
9,302755,290,"['v', 'v', 'e', 'e', 'e']",15,1371,"['v', 'd', 'd', 'd', 'd']",10,0.0,1.0
9,302752,267,"['v', 'e', 'v', 'd', 'e']",18,262,"['d', 'e', 'v', 'e', 'v']",4,1.0,4.0
10,302787,294,"['d', 'd', 'd', 'd', 'd']",20,277,"['e', 'd', 'v', 'd', 'd']",17,0.0,0.0
10,302778,264,"['e', 'v', 'e', 'e', 'e']",13,1371,"['v', 'd', 'd', 'd', 'd']",10,1.0,1.0
10,302783,282,"['v', 'v', 'd', 'v', 'e']",9,280,"['v', 'e', 'd', 'v', 'e']",6,1.0,1.0
10,302789,265,"['v', 'd', 'v', 'd', 'e']",16,283,"['e', 'd', 'e', 'd', 'e']",12,2.0,2.0
10,302774,263,"['e', 'v', 'e', 'v', 'd']",1,356,"['d', 'v', 'v', 'v', 'd']",8,2.0,0.0
10,302790,327,"['d', 'd', 'd', 'v', 'v']",19,293,"['e', 'v', 'e', 'e', 'e']",7,2.0,2.0
10,302776,276,"['e', 'd', 'e', 'e', 'd']",11,275,"['d', 'v', 'v', 'v', 'e']",2,0.0,2.0
10,302785,285,"['e', 'd', 'd', 'e', 'e']",14,267,"['v', 'e', 'v', 'd', 'e']",18,2.0,1.0
10,302771,262,"['d', 'e', 'v', 'e', 'v']",4,284,"['d', 'v', 'd', 'v', 'v']",3,3.0,0.0
10,302781,290,"['v', 'v', 'e', 'e', 'e']",15,266,"['v', 'd', 'v', 'e', 'v']",5,2.0,2.0
11,302803,276,"['e', 'd', 'e', 'e', 'd']",11,293,"['e', 'v', 'e', 'e', 'e']",7,2.0,1.0
11,302806,283,"['e', 'd', 'e', 'd', 'e']",12,356,"['d', 'v', 'v', 'v', 'd']",8,0.0,1.0
11,302804,277,"['e', 'd', 'v', 'd', 'd']",17,264,"['e', 'v', 'e', 'e', 'e']",13,0.0,2.0
11,302801,266,"['v', 'd', 'v', 'e', 'v']",5,282,"['v', 'v', 'd', 'v', 'e']",9,1.0,1.0
11,302809,265,"['v', 'd', 'v', 'd', 'e']",16,275,"['d', 'v', 'v', 'v', 'e']",2,1.0,0.0
11,302807,284,"['d', 'v', 'd', 'v', 'v']",3,327,"['d', 'd', 'd', 'v', 'v']",19,3.0,1.0
11,302802,267,"['v', 'e', 'v', 'd', 'e']",18,290,"['v', 'v', 'e', 'e', 'e']",15,0.0,1.0
11,302808,294,"['d', 'd', 'd', 'd', 'd']",20,285,"['e', 'd', 'd', 'e', 'e']",14,0.0,1.0
11,302810,1371,"['v', 'd', 'd', 'd', 'd']",10,263,"['e', 'v', 'e', 'v', 'd']",1,0.0,1.0
11,302805,280,"['v', 'e', 'd', 'v', 'e']",6,262,"['d', 'e', 'v', 'e', 'v']",4,4.0,0.0
12,302828,293,"['e', 'v', 'e', 'e', 'e']",7,264,"['e', 'v', 'e', 'e', 'e']",13,1.0,0.0
12,302821,266,"['v', 'd', 'v', 'e', 'v']",5,265,"['v', 'd', 'v', 'd', 'e']",16,2.0,1.0
