rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
17,302681,266,"['d', 'v', 'v', 'd', 'v']",4,277,"['e', 'd', 'e', 'd', 'v']",17,1,0
17,302687,285,"['d', 'e', 'd', 'd', 'e']",14,1371,"['v', 'v', 'v', 'd', 'd']",9,1,2
17,302688,293,"['v', 'e', 'e', 'v', 'e']",6,283,"['d', 'e', 'e', 'd', 'e']",12,3,3
17,302684,264,"['v', 'e', 'v', 'e', 'e']",13,267,"['d', 'd', 'v', 'e', 'v']",18,3,1
17,302689,356,"['d', 'd', 'd', 'v', 'v']",8,280,"['e', 'v', 'v', 'e', 'd']",7,0,3
17,302686,282,"['d', 'd', 'v', 'v', 'd']",11,262,"['v', 'd', 'e', 'v', 'e']",3,1,2
17,302683,276,"['d', 'e', 'd', 'e', 'e']",10,265,"['e', 'e', 'v', 'd', 'v']",16,0,0
17,302682,263,"['e', 'v', 'e', 'v', 'e']",1,294,"['v', 'd', 'd', 'd', 'd']",19,4,1
17,302690,327,"['e', 'd', 'd', 'd', 'd']",20,275,"['v', 'v', 'd', 'v', 'v']",2,1,4
17,302685,290,"['e', 'v', 'v', 'e', 'e']",15,284,"['v', 'e', 'd', 'v', 'd']",5,1,1
