temporada_id;rodada_id;clube_id;atleta_id;atleta_pontos;atleta_media;atleta_preco;atleta_preco_variacao;DS;FC;GC;CA;CV;SG;DP;GS;FS;A;FT;FD;FF;G;I;PP;PS;DE;V;clube_gol_pro;clube_col_con;clube_part_res;clube_mand;clube_res_rod_ant
2016;37;262;36540;4,4;3,67;11,91;-0,13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;7
2016;38;262;36540;2,9;3,58;11,91;-0,45;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8
2016;0;344;36591;0;0;11,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;1;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;1;3
2016;2;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1
2016;3;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;1;5
2016;4;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3
2016;5;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;9
2016;6;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4
2016;7;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;6
2016;8;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;7
2016;9;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;9
2016;10;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
2016;11;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2
2016;12;344;36591;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;6
2016;0;275;36612;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;1;275;36612;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;1;3
2016;2;275;36612;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1
2016;3;275;36612;-0,3;-0,3;12;-2,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;6
2016;4;275;36612;3,1;1,27;12;0,28;3;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6
2016;5;275;36612;1;1,27;8,82;-0,55;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;1;10
2016;6;275;36612;0;1,27;8,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;7
2016;7;275;36612;0,1;0,98;8,82;-0,62;1;2;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;3;1;5
2016;8;275;36612;4;1,58;8,82;0,66;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;1;0;10
2016;9;275;36612;0;1,58;8,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;1;7
2016;10;275;36612;1,4;1,55;8,31;-0,55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;7
2016;11;275;36612;0;1,55;8,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;9
2016;12;275;36612;5,2;1,55;8,88;0,57;0;2;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;4;0;3;1;9
2016;13;275;36612;2,7;2,15;8,57;-0,31;1;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;1;3;0;10
2016;14;275;36612;2,5;2,19;8,57;0,03;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;9
2016;15;275;36612;7,3;2,19;8,57;1,15;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;9
2016;16;275;36612;1,7;2,61;8,78;-0,97;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
2016;17;275;36612;1,4;2,51;8,78;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;12
2016;18;275;36612;5,3;2,72;9,37;0,59;3;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1;1;0;5
2016;19;275;36612;-1;2,45;8,51;-0,86;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;3;1;11
2016;20;275;36612;0;2,45;8,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;9
2016;21;275;36612;0;2,29;8,54;0,03;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;13
2016;22;275;36612;-0,4;2,29;8,39;-0,15;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;6
2016;23;275;36612;6,6;2,38;9,62;1,23;4;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;1;3;1;12
2016;24;275;36612;3,2;2,43;9,62;-0,55;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;10
2016;25;275;36612;3,8;2,43;9,62;0,18;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;3
2016;26;275;36612;0;2,43;9,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;12
2016;27;275;36612;0;2,43;9,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;9
2016;28;275;36612;10,8;2,92;10,53;1,28;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;2;3;0;10
2016;29;275;36612;5,3;2,92;9,79;-0,74;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;2;0;3;0;10
2016;30;275;36612;3,3;2,92;9,33;-0,46;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10
2016;31;275;36612;0;2,92;9,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;9
2016;32;275;36612;0,7;2,94;9,33;-0,3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;9
2016;33;275;36612;7,2;2,94;9,33;1,16;3;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4
2016;34;275;36612;1,7;2,94;9,22;-0,97;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;5
2016;35;275;36612;0;2,94;9,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;6
2016;36;275;36612;-0,3;2,93;9,22;-0,42;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;3;1;7
2016;37;275;36612;5,1;2,93;9,22;-0,42;2;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;3;1;8
2016;38;275;36612;0;2,93;9,22;-0,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;8
2016;0;266;36650;0;0;9,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;1;266;36650;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3
2016;2;266;36650;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1
2016;3;266;36650;0,2;0,2;5,44;-1,56;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6
2016;4;266;36650;0;0,2;5,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;9
2016;5;266;36650;0;0,1;4,83;-0,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;8
2016;6;266;36650;-1,2;-0,33;4,27;-0,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4
2016;7;266;36650;0,7;-0,07;4,51;0,24;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;2
2016;8;266;36650;-0,8;-0,22;4,51;-0,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;1;9
2016;9;266;36650;10,1;-0,22;4,51;2,29;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;7
2016;10;266;36650;10,4;2,77;4,51;0,75;1;1;0;0;0;0;0;0;3;1;0;3;0;0;0;0;0;0;0;2;4;0;1;7
2016;11;266;36650;2,5;2,74;4,51;-1,05;1;1;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;2;1;3;0;9
2016;12;266;36650;-0,4;2,39;4,51;-0,59;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;6
2016;13;266;36650;1,7;2,32;5,82;0,34;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7
2016;14;266;36650;0,1;2,32;5,54;-0,28;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;8
2016;15;266;36650;0;2,32;5,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;9
2016;16;266;36650;0;1,94;5,43;-0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7
2016;17;266;36650;0;1,94;5,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;1;12
2016;18;266;36650;0;1,94;5,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;1;4
