temporada_id;rodada_id;clube_id;partida_id;atleta_id;posicao_id;status_id;atleta_preco;atleta_var;atleta_jogos;SC_G;SC_DP;SC_SG;SC_A;SC_FT;SC_FD;SC_DS;SC_PS;SC_DE;SC_V;SC_FF;SC_FS;SC_PP;SC_GC;SC_CV;SC_CA;SC_GS;SC_PC;SC_FC;SC_I;atleta_pt_acum;atleta_pt_med;clube_mand;clube_gol_pro;clube_gol_cont;clube_gol_marc;clube_gol_sof;clube_rod_pt;clube_pt;clube_saldo;clube_pos;clube_pt_5_rod;adv_gol_marc;adv_gol_sof;adv_rod_pt;adv_pt;adv_saldo;adv_pos;adv_pt_5_rod;atleta_pontos
2021;26;265;202126265;37245;6;7;9,69;0,44;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;29;39;1;28;29;16;5;39;39;1;28;29;16;5;0
2021;27;265;202127265;37245;6;7;9,35;-0,34;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;39;1;29;29;16;6;25;39;1;29;29;16;6;0
2021;28;265;202128265;37245;6;7;9,4;0,05;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;32;39;3;32;32;15;8;24;39;3;32;32;15;8;0
2021;29;265;202129265;37245;6;7;9,99;0,59;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;39;1;33;32;16;9;27;39;1;33;32;16;9;0
2021;30;265;202130265;37245;6;7;9,44;-0,55;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;33;39;3;36;33;15;9;23;39;3;36;33;15;9;0
2021;31;265;202131265;37245;6;7;9,78;0,34;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;33;42;0;36;33;16;8;59;42;0;36;33;16;8;0
2021;32;265;202132265;37245;6;6;9,22;-0,56;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;35;45;0;36;35;17;7;53;45;0;36;35;17;7;0
2021;33;265;202133265;37245;6;7;9,22;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;35;46;0;36;35;17;4;21;46;0;36;35;17;4;0
2021;34;265;202134265;37245;6;7;9,06;-0,16;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;35;46;1;37;35;17;4;31;46;1;37;35;17;4;0
2021;35;265;202135265;37245;6;6;9,76;0,7;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;36;48;0;37;36;18;1;28;48;0;37;36;18;1;0
2021;36;265;202136265;37245;6;6;9,76;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;39;49;3;40;39;17;4;39;49;3;40;39;17;4;0
2021;37;265;202137265;37245;6;7;9,76;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;41;49;3;43;41;16;7;35;49;3;43;41;16;7;0
2021;38;265;202138265;37245;6;7;9,96;0,2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;42;51;0;43;42;18;7;44;51;0;43;42;18;7;0
2021;32;373;202132373;37333;6;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;25;33;1;39;25;14;5;28;33;1;39;25;14;5;0
2021;33;373;202133373;37333;6;7;4,29;1,29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;33;1;40;25;16;3;35;33;1;40;25;16;3;0
2021;34;373;202134373;37333;6;7;5,41;1,12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;26;34;1;41;26;15;4;36;34;1;41;26;15;4;0
2021;35;373;202135373;37333;6;6;5,64;0,23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;28;35;3;44;28;13;6;36;35;3;44;28;13;6;0
2021;36;373;202136373;37333;6;6;5,64;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;29;35;3;47;29;11;9;27;35;3;47;29;11;9;0
2021;37;373;202137373;37333;6;7;5,64;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;31;36;3;50;31;10;11;44;36;3;50;31;10;11;0
2021;38;373;202138373;37333;6;7;6,01;0,37;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;33;36;3;53;33;9;13;69;36;3;53;33;9;13;0
2021;15;315;202115315;37424;6;7;4,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;12;27;0;4;12;20;0;11;27;0;4;12;20;0;0
